committee_id,fundraising
C00649160,6423
C00655787,86.6
C00564948,120
C00649863,11875
C00637678,3616.44
C00648931,15000
C00637884,7000
C00634113,4028
C00652719,29788.71
C00283051,1296
C00652362,236.92
C00650085,2000
C00636613,12555
C00649947,103.55
C00652958,478.42
C00634709,17250
C00640995,5000
C00650895,15750
C00637785,2880.23
C00650531,250
C00636563,4333
C00651307,29000
C00640680,1233.22
C00650382,3000
C00657486,5525.47
C00654558,2286.96
C00636555,15000
C00636720,4145.16
C00636845,14500
C00636969,17000
C00637090,2666.66
C00637231,188.65
C00476978,20000
C00638023,15999
C00639211,2155.33
C00653840,1389.02
C00638726,10930
C00639252,25700
C00639740,35000
C00639989,95635.8
C00659318,14903.2
C00666149,93787.48
C00658724,27016.94
C00671032,58200
C00640698,14607.93
C00641340,3235.61
C00641381,16000
C00638411,171704.4
C00652651,28650
C00648774,4830.26
C00668608,23870.92
C00649608,19292.67
C00649632,98.28
C00649210,7000
C00649681,5.89
C00649582,4450
C00650150,2764.42
C00650176,8000
C00650655,7444.9
C00651471,3642.5
C00652495,11741.05
C00657056,11268.47
C00652776,6500
C00652800,18000
C00652891,27860
C00654111,34500
C00654095,137863.82
C00653691,1676.96
C00655548,34000
C00654988,3132
C00581868,1500
C00673905,11470
C00670257,78400.49
C00675678,4403
C00674887,348.4
C00657015,45641.25
C00657320,6047.79
C00657411,71996.08
C00657635,17450
C00657981,6500
C00658625,1025
C00658674,13630
C00660126,11762.81
C00660183,3350
C00659078,1707.06
C00661116,439.01
C00681296,5000
C00661751,26670.87
C00663427,6754.13
C00666255,20300
C00668574,23456
C00667097,54547.34
C00668491,53543.4
C00670992,7959.22
C00671057,4500
C00673343,10000
C00649509,232.97
C00652172,3000
C00670828,230
C00657833,17273.59
C00290064,707.38
C00662809,12060.4
C00665588,1789.7199999999998
C00640375,104.81
C00658583,26055.03
C00665612,1500
C00607531,600
C00670364,24513.52
C00665331,13525.55
C00670844,28459.739999999998
C00668400,29524.36
C00193342,1407.6
C00672311,113837.11
C00663245,800
C00637793,7440.96
C00673830,477.33
C00657122,141.97
C00543843,7142.86
C00661389,1748.25
C00675330,498.94
C00665059,761.16
C00668806,14484.369999999999
C00649285,2000
C00649954,4630
C00639427,6003
C00679779,100
C00256925,59.08
C00640904,11.13
C00646612,9213
C00656033,2500
C00665935,3500
C00663880,9148.3
C00649392,240
C00656058,8000
C00658393,8281.05
C00661165,3415.17
C00652792,12638.039999999999
C00658419,4519.25
C00639799,202.9
C00662379,264
C00647099,5318
C00615542,2700
C00638346,1250
C00675215,23200
C00682351,2400
C00654277,11000
C00677286,55390
C00649558,40889.33
C00680462,4245.16
C00344697,1106.04
C00659623,1793.89
C00661769,22227.59
C00668269,5002.73
C00650804,4000
C00673871,6030
C00646844,13505.97
C00653816,21767.76
C00661637,18884.11
C00674259,12353.89
C00659235,240.60000000000002
C00685545,58466.009999999995
C00673525,1283
C00269837,697.84
C00674838,2209.71
C00675710,252.9
C00655183,15605
C00669507,1180.2
C00684050,218734.15999999997
C00656959,600
C00657841,25096.35
C00590067,159884.84
C00671859,123736.13
C00667915,3500
C00665182,250
C00685438,15098.8
C00651562,105
C00646752,8183.4
C00659151,322.53999999999996
C00663054,115990.21
