,candidate_id,candidate_name,candidate,party,state,district,incumbent_challenge,committee_id,committee_name,total,advertise,poll,research,fundraise,pay,materials,consulting,event,mail,travel,smedia,radio,television,website,newspaper
53,H8AZ02185,"MARQUEZ PETERSON, LEA",Marquez Peterson,REP,AZ,2,O,C00663054,LEA MARQUEZ PETERSON FOR CONGRESS,1472575.33,NA,82980,NA,115990.21,NA,NA,87077.12,15125.15,44177.77,10347.08,NA,NA,NA,NA,NA
54,H8AZ02193,"WELCH, CASEY BURKE MR.",Welch,REP,AZ,2,O,C00667287,CASEYWELCHFORCONGRESS,14452.38,1800,NA,NA,NA,NA,NA,NA,NA,NA,NA,350,NA,NA,2967.5,NA
55,H8AZ02201,"MARTIN, BRANDON RAY",Martin,REP,AZ,2,O,C00668285,MARTIN FOR FREEDOM,39642.77,5105.11,NA,NA,5097.31,5550,NA,4377.67,896.5,NA,1026.09,130,NA,NA,6163.2,NA
56,H8AZ02219,"WILES, MARILYN MS",Wiles,REP,AZ,2,O,C00669572,MARILYN WILES FOR CONGRESS,2062.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,H8AZ02227,"MORALES, DANIEL ROMERO JR",Morales,REP,AZ,2,O,C00670224,MORALES FOR CONGRESS,7808.87,1106,NA,NA,NA,NA,437.89,NA,300,NA,NA,NA,806,NA,NA,NA
58,H8AZ02235,"YUKSEL, YAHYA",Yuksel,DEM,AZ,2,O,C00671875,YAHYA4CONGRESS,43704.96,498.53,NA,200,1574.38,NA,NA,15695.03,474.46,NA,1898.39,510,NA,NA,782.6,NA
59,H8AZ03142,"ARELLANO, SERGIO",Arellano,REP,AZ,3,C,C00663245,ARELLANO FOR ARIZONA,39752.96,4270.95,NA,NA,800,NA,NA,5800,2500,NA,4479.37,75.67,NA,NA,NA,NA
60,H8AZ03159,"PIERSON, JOE NICOLAS",Pierson,REP,AZ,3,C,C00666107,PIERSON FOR CONGRESS,78624.69,26335.28,NA,NA,NA,NA,40,228,265,98.35,NA,NA,6125,NA,770,2500
61,H8AZ04132,"PEREZ GISSY, ANA MARIA MS",Perez Gissy,DEM,AZ,4,C,C00651620,ANA MARIA PEREZ FOR CONGRESS,8155.73,9.44,NA,NA,NA,NA,NA,1500,346.65,NA,NA,NA,NA,NA,NA,9.44
62,H8AZ04140,"BRILL, DAVID H",Brill,DEM,AZ,4,C,C00664342,BRILL FOR CONGRESS,583261.61,30357.08,NA,NA,11241.87,3856.25,7778.48,133117.36,1495.3,NA,697.87,NA,NA,NA,NA,NA
