committee_id,postage
C00443705,5532.07
C00639690,2152.91
C00651752,5
C00640938,618.88
C00658021,6183.94
C00660852,417.85
C00665448,347.93
C00677880,397.42
C00659565,6637.81
C00667758,1145.74
C00154625,8758.77
C00473736,13814.45
C00663468,2205.15
C00650424,52.03
C00636761,2644.33
C00657239,8232.22
C00656793,205.09
C00630061,1859.52
C00580316,5135
C00621888,0.87
C00664607,28120.12
C00600981,9.71
C00172619,26741.19
C00552786,506.98
C00630913,6048.23
C00592154,320.01
C00651471,25698.34
C00668459,421.94
C00668525,100
C00602888,410.81
C00614057,1550.74
C00654111,55.650000000000006
C00654145,300
C00630954,3383.21
C00670588,74.7
C00607838,542.95
C00638478,4056.05
C00652156,150
C00665042,1531.54
C00659334,607.4
C00672352,550
C00675959,48.46
C00602722,109397.94
C00664813,21220.85
C00635227,25.55
C00654004,26.5
C00634592,45
C00656918,877.86
C00671545,1500
C00254185,21318
C00430991,904.3000000000001
C00656173,1352.63
C00631200,108.4
C00663617,6146.7
C00658567,3418.18
C00664862,52.61
C00433136,2199.39
C00649954,3053.66
C00655704,37.32
C00652586,1112.65
C00633859,2639.87
C00631168,410.95
C00269340,42.9
C00634212,7505.66
C00215905,103715.42
C00632232,25407.65
C00652289,4.9
C00669200,33.32
C00433730,2322.84
C00632505,4116
C00250720,799.46
C00219881,23056.04
C00476853,363.23
C00573378,236
C00634527,225.4
C00647222,951.46
C00666743,877.5
C00301838,5475.54
C00612697,2015.98
C00373001,5014.25
C00665471,6093.18
C00657015,1173.58
C00675108,14018.52
C00651497,136943.15
C00290825,106
C00652362,1549.62
C00664979,139.5
C00669432,2937.6
C00658500,460.15
C00651588,205.07999999999998
C00647958,166.3
C00665497,419.4
C00666479,32066.04
C00664466,1928
C00416594,188.63
C00647974,28.89
C00666255,574.9
C00462556,913.42
C00663997,19.6
C00435370,9216.199999999999
C00655795,79.85
C00655340,63.75
C00607531,86.7
C00501205,87539.91
C00673467,96
C00659516,26.8
C00652107,1202.89
C00285254,2603.65
C00468413,100
C00659714,310
C00633982,2651.7200000000003
C00661348,2720.62
C00658401,371790.68
C00633610,3646
C00599464,1339.7
C00653253,338.15
C00472878,314
C00671107,302.4
C00661371,1790.83
C00666883,1486.88
C00633198,872
C00630335,2316.07
C00197160,8845.64
C00409409,98.79
C00470757,243877.03999999998
C00560920,257.95
C00620443,27074.43
C00226522,4317.91
C00444620,14214.47
C00633024,26224.42
C00307314,26128.899999999998
C00591420,1050
C00528182,196
C00393348,1701.79
C00550608,122.2
C00441014,5525.42
C00585463,0.49
C00334706,23.5
C00630145,69.42
C00629790,1408.96
C00465971,236.75
C00213512,115.2
C00460402,3103
C00386110,2498.25
C00632851,735
C00614826,8462.68
C00364935,1276.64
C00331389,141
C00563940,145.15
C00538637,258
C00631929,4910.22
C00630988,2297.55
C00272211,11951.42
C00588970,1205.56
C00630483,637
C00501254,14.419999999999998
C00629691,489.02
C00609156,49.6
C00258855,67287.19
C00441352,7140
C00617662,278.63
C00611145,41.41
C00631150,227.7
C00633602,9.8
C00629774,18.6
C00629865,11854
C00630517,294
C00376673,2728.14
C00636480,458.23
C00637272,1287
C00637215,7852.73
C00635888,93944.13
C00549188,26
C00289603,30955.25
C00304709,50728.229999999996
C00637330,3.96
C00213611,609.64
C00472241,109532.21
C00632471,2035.5
C00545673,9098.48
C00633370,245
C00229104,1090
C00636969,10.9
C00640979,637
C00636514,9.8
C00256925,2872.14
C00637306,897.9
C00415331,4154.07
C00635839,522.5799999999999
C00590943,1250
C00590463,1415.7
C00631564,57246.51
C00264101,20.25
C00470948,252.74
C00634543,6692.96
C00636563,247
C00631978,2881.75
C00652735,214.7
C00646372,150
C00672766,279.45
C00647008,1455.4
C00649301,85102.34
C00638973,3608.2
C00672246,26648.14
C00638346,2869.75
C00649277,504.12
C00658633,74231.17
C00664904,68.78999999999999
C00650077,520.3
C00610071,4011.07
C00648519,100
C00675561,194.1
C00587782,70028.65000000001
C00655803,218.23
C00679100,870.35
C00443689,5534.47
C00651281,4929.91
C00630491,13.85
C00460899,49
C00647032,1003.29
C00650614,780.4
C00648931,996.05
C00637231,1051.73
C00464073,98
C00639575,1761.5
C00639419,180
C00649749,5261.5
C00649004,18312.14
C00650804,1396
C00636746,9.8
C00637090,143.75
C00638577,16
C00287904,1114.8899999999999
C00194803,1147
C00655720,1900.8200000000002
C00672279,4.12
C00565523,58.87
C00636696,163.4
C00663773,313.99
C00667444,36.8
C00566000,123.5
C00637470,98
C00637793,11514.789999999999
C00639559,1716.6
C00630434,174.56
C00639989,1551.95
C00668608,78793.35
C00649947,534.7
C00666149,7781.34
C00419630,4853.07
C00670679,923
C00671032,600
C00662213,63.96
C00658724,8151.38
C00640680,2923.68
C00648105,378
C00640953,245
C00652248,2294.22
C00679233,3800
C00662957,929.5
C00668152,1579.29
C00648048,211.05
C00663864,1536.39
C00671198,4450.78
C00681957,41.7
C00650382,1761.5
C00650655,475
C00650911,413.43
C00658419,1561.5
C00677286,24283.39
C00655225,1301.3200000000002
C00651992,129
C00652891,465
C00654095,17461.05
C00654988,2157.89
C00655183,3015.58
C00671370,1453.72
C00648972,52.4
C00658583,12191.349999999999
C00658674,3639.42
C00663005,9319.64
C00666107,98.35
C00667253,3509.45
C00667386,1280.9
C00640474,13631.55
C00671701,852.33
C00678532,10099.6
C00667915,2683.95
C00658351,506.79
C00649475,61.07
C00518654,753.63
C00638601,29.4
C00669481,381.84999999999997
C00253187,3484.46
C00648774,12407.55
