"","committee_name","committee_id","candidate_name","candidate_id","party","state","district","region","incumbent_challenge","hold_flip","win_per","lose_per","delta","total","advertise","poll","research","consulting","fundraise","pay","materials","travel","event","mail","radio","television","newspaper","smedia","website"
"297","CHARLES SCHAUPP FOR CONGRESS 2018","C00673129","SCHAUPP, CHARLES EUGENE","H6CA03067","REP","CA",3,"west","C","Dem Hold",58.1,41.9,16.2,27019.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"298","DANA COTTRELL CAMPAIGN ACCOUNT","C00673145","COTTRELL, DANA","H8FL11130","DEM","FL",11,"south","C","GOP Hold",65.2,34.8,30.4,76591.69,NA,NA,NA,NA,325,NA,NA,NA,250,315,NA,NA,NA,NA,NA
"299","FRIENDS OF DAVID CALLAHAN","C00673202","CALLAHAN, DAVID ALAN","H8GA13035","REP","GA",13,"south","C","Dem Hold",76.2,23.8,52.4,24720.69,2900,NA,NA,NA,NA,NA,NA,NA,NA,NA,2900,NA,NA,NA,15
"300","TEAM GAYOT","C00673244","GAYOT, LUTCHI","H8NY09174","REP","NY",9,"northeast","C","Dem Hold",89.3,10.3,79,3500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"301","DINICOLA FOR CONGRESS","C00673350","DINICOLA, RONALD A. MR.","H4PA21069","DEM","PA",16,"northeast","C","GOP Hold",51.6,47.3,4.3,1867809.71,2275370.71,2500,42469.1,63015.74,60921.17,299655.1,NA,1407.94,12130,1476.53,NA,1122000,1252.96,NA,6264.81
"302","VOTE MIMI METHVIN","C00673384","METHVIN, MIMI","H8LA03094","DEM","LA",3,"south","C","GOP Hold",55.7,17.8,37.9,252446.06,78767.01,4500,300,11275.13,NA,NA,2400,2741.39,21644.76,633,NA,NA,NA,NA,NA
"303","SANTOS FOR CONGRESS","C00673467","SANTOS, MANNY","H8CT05187","REP","CT",5,"northeast","O","Dem Hold",55.8,44.2,11.6,80363.2,31214.97,NA,NA,7450,2450,NA,445.17,2007.45,3452.7,96,6016,NA,NA,NA,NA
"304","MAC SCHNEIDER FOR NORTH DAKOTA","C00673533","SCHNEIDER, MAC SCHNEIDER","H8ND00112","DEM","ND",0,"midwest","O","GOP Hold",60.3,35.6,24.7,869805.07,336454.21,500,5000,159404.93,16910.7,185886.63,NA,540.87,6551.41,10290.99,NA,NA,1382.57,NA,3139.93
"305","PEARL KIM FOR CONGRESS","C00673681","KIM, PEARL","H8PA05295","REP","PA",5,"northeast","C","Dem Pickup",65.2,34.8,30.4,519133.71,10567,NA,7727.27,125579.98,12923.03,NA,NA,4046.56,9431.28,2394.11,NA,NA,NA,NA,NA
"306","COMMITTEE TO ELECT JAMES SINGER","C00673749","SINGER, JAMES COURAGE","H8UT03402","DEM","UT",3,"west","C","GOP Hold",67.5,27.3,40.2,28956.74,2046.81,NA,NA,500,NA,500,NA,NA,NA,NA,NA,NA,NA,NA,NA
"307","BENITO BENNY BERNAL FOR CONGRESS 2018","C00673772","BERNAL, BENITO BENNY","H6CA29203","REP","CA",29,"west","C","Dem Hold",80.6,19.4,61.2,3456.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"308","COMMITTEE TO ELECT JAMIE SCHOOLCRAFT","C00673871","SCHOOLCRAFT, JAMIE DANIEL","H8MO07223","DEM","MO",7,"midwest","C","GOP Hold",66.2,30.1,36.1,54880.61,8453.31,NA,NA,990,7526.52,NA,NA,NA,NA,NA,450,7777,NA,NA,NA
"309","JINEEA BUTLER FOR CONGRESS","C00673996","BUTLER, JINEEA THE NEW AM","H8NY13150","REP","NY",13,"northeast","C","Dem Hold",94.6,5.4,89.2,5580.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110.04
"310","JOHNSON-GREEN FOR CONGRESS","C00674143","JOHNSON-GREEN, TABITHA","H8GA10197","DEM","GA",10,"south","C","GOP Hold",62.9,37.1,25.8,17601.79,NA,NA,NA,NA,3750,NA,NA,1434.76,673.42,NA,NA,NA,NA,NA,220.08
"311","DAVISFORCONGRESS","C00674416","DAVIS, RICHMOND","H8MD07083","REP","MD",7,"south","C","Dem Hold",76.5,21.3,55.2,21279.94,3120.1,NA,NA,1250,100,NA,NA,NA,NA,NA,NA,NA,NA,250,NA
"312","KRAUS FOR CONGRESS - OHIO 9TH DISTRICT","C00674838","KRAUS, STEVEN WAYNE MR.","H8OH09111","REP","OH",9,"midwest","C","Dem Hold",67.8,32.2,35.6,39624.23,2884,NA,NA,NA,2709.71,NA,NA,NA,7500,280,2884,NA,NA,NA,NA
"313","BRENT OTTAWAY FOR CONGRESS","C00674887","OTTAWAY, BRENT M","H8PA13133","DEM","PA",13,"northeast","C","GOP Hold",70.5,29.5,41,30484.43,8614.24,NA,NA,NA,348.4,NA,8675.81,61.68,50,NA,NA,NA,NA,NA,NA
"314","FRIENDS OF PAUL DILKS","C00675017","DILKS, PAUL E","H8NJ01259","REP","NJ",1,"northeast","C","Dem Hold",64.4,33.3,31.1,13574.83,6674.75,NA,NA,NA,639.75,NA,497.25,NA,NA,NA,500,NA,NA,NA,NA
"315","BOERIO FOR CONGRESS","C00675041","BOERIO, BIBIANA","H8PA14065","DEM","PA",14,"northeast","C","GOP Pickup",57.9,42.1,15.8,680985.59,4126,14300,1000,4750,NA,NA,NA,NA,3116.05,343.12,NA,NA,NA,NA,5000
"316","BENNO FOR CONGRESS","C00675587","BENNO, AMEER","H8NY04084","REP","NY",4,"northeast","C","Dem Hold",61.3,38.7,22.6,72158,9075,NA,NA,NA,509.57,NA,NA,2820.63,NA,NA,NA,NA,8650,NA,8393.35
"317","STEVE FOSTER FOR CONGRESS","C00675686","FOSTER, STEVEN","H8GA14025","DEM","GA",14,"south","C","GOP Hold",76.5,23.5,53,6964.83,NA,NA,NA,NA,380,NA,NA,NA,NA,78.39,NA,NA,NA,NA,20.16
"318","JOE PROFIT FOR CONGRESS LLC","C00675777","PROFIT, JOSEPH","H8GA04125","REP","GA",4,"south","C","Dem Hold",78.8,21.2,57.6,79051.16,2000,NA,NA,NA,NA,1600,NA,225,NA,NA,2000,NA,NA,NA,5052.15
"319","COMMITTEE TO ELECT FLYNN D. BROADY JR.","C00675959","BROADY, FLYNN D. JR.","H8GA11062","DEM","GA",11,"south","C","GOP Hold",61.8,38.2,23.6,43634.3,3900,NA,NA,269,2633.21,700,NA,NA,1000,48.46,NA,NA,NA,NA,2998
"320","CRISTINA MCNEIL FOR CONGRESS","C00676163","MCNEIL, ANA","H8ID01215","DEM","ID",1,"west","O","GOP Hold",62.7,30.8,31.9,16701.75,5892.01,NA,375,2500,NA,NA,205,NA,NA,NA,NA,NA,NA,860.47,525
"321","GROSSMAN FOR CONGRESS COMMITTEE","C00676726","GROSSMAN, SETH","H8NJ02232","REP","NJ",2,"northeast","O","Dem Pickup",52.9,45.2,7.7,313728.01,37401.75,NA,NA,9459,4689.24,15919.29,NA,625.33,2119.34,547.45,4466.65,NA,NA,2093.3,1501.6
"322","JENNIFER ZIELINSKI FOR CONGRESS","C00676734","ZIELINSKI, JENNIFER L","H8MN05213","REP","MN",5,"midwest","O","Dem Hold",78.2,21.8,56.4,19426.37,3392.3,NA,NA,NA,NA,2000,NA,NA,1335.59,NA,2764,NA,628.3,NA,NA
"323","WILLIAMS FOR CONGRESS","C00677062","WILLIAMS, ROBERT","H8SC07063","DEM","SC",7,"south","C","GOP Hold",59.6,40.4,19.2,25384.87,904,NA,NA,2500,NA,NA,NA,NA,NA,NA,604,NA,NA,NA,NA
"324","KRISTEN CARLSON FOR CONGRESS COMMITTEE","C00677096","CARLSON, KRISTEN","H8FL15271","DEM","FL",15,"south","O","GOP Hold",53,47,6,2133044.92,2958548,NA,59900,51094.57,12349.48,152100.19,NA,6866.69,6551.85,131529.31,NA,1479274,NA,NA,NA
"325","PEOPLE FOR RYAN TRUNDLE","C00677179","TRUNDLE, RYAN","H8LA04282","DEM","LA",4,"south","C","GOP Hold",64.2,33.6,30.6,20346.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"326","FRIENDS AND FAMILY OF MARY BRANNON FOR CONGRESS","C00678060","BRANNON, MARY","H8OK04094","DEM","OK",4,"south","C","GOP Hold",63.1,33,30.1,8660.44,477.76,NA,NA,NA,NA,NA,NA,255,NA,7,NA,NA,228,NA,NA
"327","COMMITTEE TO ELECT TAMMY SAVOIE","C00678326","SAVOIE, TAMMY MARIE DR","H8LA01122","DEM","LA",1,"south","C","GOP Hold",71.5,16.4,55.1,264344.35,NA,NA,NA,44846.22,25316.19,NA,NA,2034.21,NA,1441.37,NA,NA,NA,5198.13,1600
"328","LAKE FOR CONGRESS","C00678557","LAKE, JEANNINE LEE","H8IN06152","DEM","IN",6,"midwest","O","GOP Hold",63.8,32.9,30.9,49816.57,2140.64,NA,NA,750,644.32,8000,NA,413.38,10743.75,5.93,NA,NA,NA,NA,1375
"329","DIGHTMAN FOR CONGRESS","C00679571","DIGHTMAN, DOUGLAS","H8WA06100","REP","WA",6,"west","C","Dem Hold",63.9,36.1,27.8,40400.78,11233,NA,NA,1500,NA,529.24,NA,NA,NA,NA,NA,10838,NA,NA,NA
"330","HUNTERFORWYOMING","C00679852","HUNTER, GREG","H8WY01062","DEM","WY",0,"west","C","GOP Hold",63.7,29.8,33.9,41574.34,NA,NA,NA,NA,NA,1800,NA,1500,200,7081.7,NA,NA,NA,NA,250
"331","RICH PEZZULLO FOR CONGRESS","C00680249","PEZZULLO, RICHARD J.","H8NJ10110","REP","NJ",6,"northeast","C","Dem Hold",63.6,36.4,27.2,48695.91,4940,NA,NA,NA,450,13785.11,2000,NA,2449.69,22.16,4940,NA,NA,NA,NA
"332","BRYAN FOR PA","C00680256","LEIB, BRYAN","H6PA01165","DEM","PA",3,"northeast","C","Dem Hold",93.4,6.6,86.8,8770.22,449,NA,NA,5000,NA,NA,NA,1125.14,NA,NA,NA,NA,NA,449,NA
"333","BEELER4CONGRESS","C00680264","BEELER, JEFFREY ALLEN SR","H8WA01077","REP","WA",1,"west","C","Dem Hold",59.3,40.7,18.6,16488.52,1956.67,NA,NA,NA,NA,NA,NA,NA,1571.08,NA,NA,NA,NA,NA,NA
"334","JOHN MUNIZ FOR CONGRESS","C00680611","MUNIZ, JOHN R","H8NJ08080","REP","NJ",8,"northeast","C","Dem Hold",78.1,18.7,59.4,5494.99,700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"335","CAM CAVASSO 4 CONGRESS","C00680876","CAVASSO, CAMPBELL","H8HI00012","REP","HI",1,"west","O","Dem Hold",73.1,23.1,50,151389.41,31204.7,15400,10000,8500,NA,NA,NA,3996.15,1323.56,1801.55,8688.97,14252.35,NA,2700,214.95
"336","ELIOT RABIN-PETER ELIOT FOR CONGRESS","C00680900","RABIN, ELIOT MR.","H8NY12145","REP","NY",12,"northeast","C","Dem Hold",86.4,12.1,74.3,33121.84,2335,NA,NA,NA,819.05,2200,NA,29.04,44.48,NA,NA,2335,NA,NA,376.1
"337","JOSHUA SCOTT FOR CONGRESS","C00682179","SCOTT, JOSHUA","H8CA32088","REP","CA",32,"west","C","Dem Hold",68.8,31.2,37.6,4930.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"338","JUSTIN AGUILERA FOR CONGRESS","C00683532","AGUILERA, JUSTIN","H8CA19051","REP","CA",19,"west","C","Dem Hold",73.8,26.2,47.6,28317.67,16120.39,NA,NA,NA,NA,NA,NA,NA,3034.28,NA,6702,NA,NA,NA,3034.28
"339","VOTE JESSEE FLEENOR","C00683888","FLEENOR, JESSEE CARLTON","H8LA05099","DEM","LA",5,"south","C","GOP Hold",66.5,30,36.5,23763.23,3668.58,NA,NA,500,NA,NA,NA,NA,1199.98,NA,NA,NA,NA,NA,NA
"340","KIPNIS FOR CONGRESS","C00684324","KIPNIS, DARYL","H8NJ12108","REP","NJ",12,"northeast","C","Dem Hold",68.7,31.3,37.4,22812.33,NA,NA,NA,1933.31,6771.27,300,NA,NA,343.46,NA,NA,NA,NA,NA,NA
"341","ANYA TYNIO FOR HOUSE","C00684696","TYNIO, NATASHA ANYA","H8VT01065","REP","VT",0,"northeast","C","Dem Hold",69.2,26,43.2,8630.8,3106,NA,NA,NA,NA,NA,NA,NA,75,NA,3106,NA,NA,NA,2500
"342","ERIKA STOTTS PEARSON FOR CONGRESS","C00684977","STOTTS-PEARSON, ERIKA","H6TN08250","DEM","TN",8,"south","C","GOP Hold",67.7,30.1,37.6,7070.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"343","CAMPAIGN COMMITTEE OF JOSEPH BRUMBLES","C00686170","BRUMBLES, JOSEPH","H8WA10045","REP","WA",10,"west","C","Dem Hold",61.5,38.5,23,5099.4,461.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
