"","committee_name","committee_id","candidate_name","candidate_id","party","state","district","region","incumbent_challenge","hold_flip","win_per","lose_per","delta","total","advertise","poll","research","consulting","fundraise","pay","materials","travel","event","mail","radio","television","newspaper","smedia","website"
"137","BETSY DIRKSEN LONDRIGAN FOR CONGRESS","C00649483","LONDRIGAN, BETSY DIRKSEN","H8IL13150","DEM","IL",13,"midwest","C","GOP Hold",50.4,49.6,0.8,4361816.01,3031.9,135916.29,9033.15,61090.29,53230.61,396024.42,NA,27283.53,15651.04,8432.59,NA,NA,NA,2632.89,3775.54
"138","BRENDAN KELLY FOR SOUTHERN ILLINOIS","C00649558","KELLY, BRENDAN","H8IL12129","DEM","IL",12,"midwest","C","GOP Hold",51.6,45.4,6.2,4163370.22,2799.32,NA,6322.9,718575.55,43607.83,562719.43,21766.59,16996.73,39995,12658.75,NA,NA,NA,NA,5118
"139","SODERBERG FOR CONGRESS","C00649798","SODERBERG, NANCY","H8FL06098","DEM","FL",6,"south","O","GOP Hold",56.3,43.7,12.6,3430151.23,1300,85300,47238.38,87298.57,137324.26,477678.72,NA,38392.92,17922.37,695.8,NA,NA,NA,28610,13012.41
"140","COMMITTEE TO ELECT DAVID WILSON BROWN","C00649806","BROWN, DAVID WILSON","H8NC10097","DEM","NC",10,"south",NA,"GOP Hold",59.3,40.7,18.6,123967.09,2492.91,NA,NA,15500,NA,NA,303.88,NA,4032.24,1837.4,1720,NA,NA,860.21,NA
"141","JANICE ARNOLD-JONES FOR CONGRESS 2018","C00649848","ARNOLD-JONES, JANICE E","H8NM01372","REP","NM",1,"west","O","Dem Hold",59.1,36.3,22.8,311218.82,NA,NA,NA,86029.62,NA,NA,NA,6330.88,110,4597.23,NA,NA,NA,NA,NA
"142","HIRAL FOR CONGRESS","C00649897","TIPIRNENI, HIRAL VYAS","H8AZ08083","DEM","AZ",6,"west","C","GOP Hold",55.5,44.5,11,4563573.79,2143708.57,75905.55,20000,726932.35,630795.6,200906.71,NA,29906.87,8301.81,57600.23,NA,NA,38.94,NA,16845.7
"143","JOSH MAHONY FOR CONGRESS","C00650093","MAHONY, JOSH","H8AR03074","DEM","AR",3,"south","C","GOP Hold",64.8,32.6,32.2,304625.93,4441.75,NA,NA,65590.62,26384.98,71375,407.1,NA,3913.22,345.31,NA,NA,NA,NA,2740
"144","TALLEY SERGENT FOR WEST VIRGINIA","C00650176","SERGENT, TALLEY","H8WV02115","DEM","WV",2,"south","C","GOP Hold",54,42.9,11.1,690426.62,2010.31,31000,NA,350724.58,8000,NA,23238.23,7325.57,10069.93,4068.1,NA,NA,NA,NA,NA
"145","TIM BJORKMAN FOR SOUTH DAKOTA","C00650226","BJORKMAN, TIMOTHY W MR.","H8SD01097","DEM","SD",0,"midwest","O","GOP Hold",60.3,36,24.3,1030428.2,422338.9,10500,NA,15450,34869.93,210626.02,NA,33257.72,NA,9434.36,NA,NA,NA,NA,8792.25
"146","LESLIE COCKBURN FOR CONGRESS","C00650366","COCKBURN, LESLIE","H8VA05155","DEM","VA",5,"south","O","GOP Hold",53.3,46.7,6.6,4132478.3,2193138.15,62040,20950,272289.12,37500,1183224.6,NA,36831.72,71830.45,16847.12,7075,1053756,NA,NA,4225
"147","JESSICA MORSE FOR CONGRESS","C00650408","MORSE, JESSICA","H8CA04210","DEM","CA",4,"west","C","GOP Hold",54.1,45.9,8.2,3705181.89,2263536.05,106641.43,NA,184366.88,38447.27,457176.25,NA,7274.39,8594.6,268496.67,NA,2189373.98,NA,NA,529.88
"148","CORT VANOSTRAN FOR CONGRESS","C00650440","VANOSTRAN, CORT","H8MO02208","DEM","MO",2,"midwest","C","GOP Hold",51.2,47.2,4,2367941.73,629.35,NA,53056.7,96410.26,73916.23,110559,NA,13217.54,3874.42,96977.36,NA,NA,NA,NA,7200
"149","PERRY GERSHON FOR CONGRESS","C00650457","GERSHON, PERRY","H8NY01155","DEM","NY",1,"northeast","C","GOP Hold",51.5,47.4,4.1,5459465.54,59581.84,155957.7,24000,947913.15,123294.44,420114.36,511.71,66896.18,15577.67,461754.55,NA,NA,NA,NA,158.26
"150","SCHOLTEN4IOWA CAMPAIGN COMMITTEE","C00650622","SCHOLTEN, JAMES D.","H8IA04106","DEM","IA",4,"midwest","C","GOP Hold",50.4,47,3.4,3495417.44,1373084.48,36160,1151,38941.15,88031.79,600323.96,6658.11,6896.66,9525.27,67718.31,335000,385000,2745,1049.98,7312.4
"151","MATT LONGJOHN FOR CONGRESS","C00650689","LONGJOHN, MATT","H8MI06155","DEM","MI",6,"midwest","C","GOP Hold",50.2,45.7,4.5,1635506.27,426.5,NA,96500,1000964.12,3668.06,437183.36,24270.33,18474.12,20823.91,2602.64,NA,NA,NA,2400,NA
"152","LIZ FOR INDIANA","C00651331","WATSON, LIZ","H8IN09107","DEM","IN",9,"midwest","C","GOP Hold",56.5,43.5,13,2699267.82,24316.41,NA,47697.86,417545.73,2006.81,378663.31,15907.98,9252.39,16080.77,2083.98,NA,NA,58.9,NA,1433.79
"153","MARY BARZEE FLORES FOR CONGRESS","C00651471","BARZEE FLORES, MARY","H8FL27086","DEM","FL",25,"south","O","GOP Hold",60.5,39.5,21,2192183.44,2062,52275.45,1500,255065.48,3642.5,206066.12,NA,25432.68,6743.61,25698.34,NA,NA,NA,NA,NA
"154","DEBONO FOR CONGRESS","C00651497","DEBONO, DAN","H8NY03151","REP","NY",3,"northeast","C","Dem Hold",59,41,18,461401.49,12447.78,6250,NA,89814.08,11750,NA,NA,31736.57,5401.49,271446.58,NA,NA,NA,9000,213.2
"155","JOHNNY FOR CONGRESS","C00651547","NALBANDIAN, JOHNNY","H8CA28185","REP","CA",28,"west","C","Dem Hold",78.4,21.6,56.8,35729.6,1005.59,NA,NA,NA,NA,NA,53.77,553.42,2440.81,NA,NA,NA,NA,500,NA
"156","CALLAHAN FOR CONGRESS","C00651562","CALLAHAN, MARK ALLEN","H8OR05198","REP","OR",5,"west","C","Dem Hold",55.1,41.9,13.2,28424.51,8691.5,1850,NA,4450,105,7612.3,NA,100,1769.2,1086.57,2235.25,1928.75,NA,NA,1081.11
"157","JUNIUS RODRIGUEZ FOR CONGRESS","C00651653","RODRIGUEZ, JUNIUS","H6IL18161","DEM","IL",18,"midwest","C","GOP Hold",67.2,32.8,34.4,68826.05,8584.04,NA,NA,NA,4564.8,NA,NA,NA,965.28,NA,3098,NA,NA,NA,865
"158","BASSILIAN FOR CONGRESS","C00652222","BASSILIAN, RON","H8CA37293","REP","CA",37,"west","C","Dem Hold",89.1,10.9,78.2,8438.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,470.46,NA,NA,NA,NA,NA
"159","GINA ORTIZ JONES FOR CONGRESS","C00652297","JONES, GINA ORTIZ","H8TX23121","DEM","TX",23,"south","C","GOP Hold",49.2,48.7,0.5,6499860.08,NA,NA,56552.51,4980038.93,81820.75,972468.54,161378.43,45195.79,6614.69,1500,NA,NA,NA,NA,9500
"160","CARRIGAN FOR CONGRESS","C00652321","CARRIGAN, SEAN J MR.","H8SC02106","DEM","SC",2,"south","C","GOP Hold",56.3,42.5,13.8,164488.56,NA,NA,NA,NA,NA,52099,NA,NA,350,NA,NA,NA,NA,NA,NA
"161","LAUREN BAER FOR CONGRESS","C00652594","BAER, LAUREN","H8FL18028","DEM","FL",18,"south","C","GOP Hold",54.3,45.7,8.6,4606964.32,9903.02,148074.26,11414.25,214720.27,90681.41,211634.31,NA,26720.72,6554.4,6475.16,NA,NA,NA,5400,168
"162","FRIENDS OF WILLIAM TANOOS","C00652636","TANOOS, WILLIAM","H8IN08141","DEM","IN",8,"midwest","C","GOP Hold",64.4,35.6,28.8,233700.11,54664.09,NA,NA,98051.85,1382.07,NA,NA,NA,7339.29,NA,NA,NA,NA,NA,NA
"163","RICK NEAL FOR CONGRESS","C00652651","NEAL, RICK","H8OH15134","DEM","OH",15,"midwest","C","GOP Hold",58.3,39.7,18.6,1598340.72,593568.61,33600,30600,113408.74,28650,555103.93,NA,5239.6,14185.49,90723.4,NA,NA,NA,NA,NA
"164","PAUL DAVIS FOR KANSAS","C00653121","DAVIS, PAUL T.","H8KS02173","DEM","KS",2,"midwest","O","GOP Hold",48.1,46.4,1.7,4233371.06,2843506.5,106073.86,20000,112890.93,78844.96,767460.74,NA,68470.91,4849.25,33252.49,NA,186364,NA,NA,NA
"165","KATIE ARRINGTON FOR CONGRESS","C00653204","ARRINGTON, KATHERINE ELIZABETH","H8SC01124","REP","SC",1,"south","C","Dem Pickup",50.7,49.3,1.4,1699750.14,NA,119018,NA,562163.22,72864.88,NA,NA,15209.29,2788.84,1587.94,NA,NA,NA,NA,NA
"166","OLSEN FOR CONGRESS","C00653253","OLSEN, MARTIN","H8TN01079","DEM","TN",1,"south","C","GOP Hold",77.1,21,56.1,189264.33,938.98,NA,NA,NA,11107.96,46805.99,NA,2842.09,3878.39,338.15,NA,NA,270.91,600,135
"167","TATIANA MATTA FOR CONGRESS","C00653592","MATTA, TATIANA","H8CA23103","DEM","CA",23,"west","C","GOP Hold",63.7,36.3,27.4,104890.75,4500,NA,NA,44150,NA,NA,1946.98,9188.47,250,2780.88,NA,NA,NA,NA,382.1
"168","JERAMEY ANDERSON FOR CONGRESS","C00653659","ANDERSON, JERAMEY DEWAYNE","H8MS04438","DEM","MS",4,"south","C","GOP Hold",69.6,29.3,40.3,136476.91,9014.64,3500,NA,50527.67,1150,NA,2352.79,18846.11,30636.38,NA,780,NA,NA,NA,244.77
"169","PALZEWICZ FOR WISCONSIN","C00653733","PALZEWICZ, TOM","H8WI05165","DEM","WI",5,"midwest","C","GOP Hold",62,38,24,265997.07,42536.54,3500,NA,38485,1967.46,62069.48,NA,3307.95,10749.64,1443.88,800,NA,NA,NA,186.22
"170","SARA DADY FOR CONGRESS","C00654178","DADY, SARA","H8IL16120","DEM","IL",16,"midwest","C","GOP Hold",59.1,40.9,18.2,434244.87,12055.99,NA,NA,50139.58,33685.02,216015.11,4317.5,NA,8007.24,3578.65,6221.44,4134.5,NA,2039.13,8000
"171","BRYAN WITT FOR CONGRESS","C00654335","WITT, BRYAN","H8CA27112","DEM","CA",27,"west","C","Dem Hold",79.2,20.8,58.4,9900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","LISA BROWN FOR CONGRESS","C00654400","BROWN, LISA","H8WA05193","DEM","WA",5,"west","C","GOP Hold",54.8,45.2,9.6,5702925.41,5560833.81,4561.13,233754.25,675113.98,112823.56,417976.54,10233.62,78470.3,24317.1,496389.91,22867.77,2608729.42,NA,NA,17096.25
"173","TRACY MITRANO FOR CONGRESS","C00654525","MITRANO, TRACY","H8NY23183","DEM","NY",23,"northeast","C","GOP Hold",54.2,45.8,8.4,2251264.62,73336.42,6200,5250,202283.16,7750,202032.29,689.04,5927.37,13214.19,33084.87,3799.4,NA,NA,NA,NA
"174","RICK KENNEDY FOR CONGRESS","C00654640","KENNEDY, RICHARD","H8TX17149","DEM","TX",17,"south","C","GOP Hold",56.8,41.3,15.5,125694.86,7964.01,5046.66,NA,NA,295.52,NA,NA,NA,NA,17464.23,NA,6003.25,1506.42,NA,438.45
"175","HOYOS FOR CONGRESS","C00654988","HOYOS, RENEE","H8TN02176","DEM","TN",2,"south","O","GOP Hold",65.9,33.1,32.8,347366.36,100347.97,NA,NA,14350,3132,NA,3823.94,2021.96,4277.27,2757.73,1460,92121.3,1730.7,NA,3460.77
"176","FRIENDS OF MARC FRIEDENBERG","C00655084","FRIEDENBERG, MARC","H8PA05204","DEM","PA",12,"northeast","O","GOP Hold",66,34,32,82671.92,8036.82,NA,NA,NA,4124.78,18040,3336.45,427.5,300,12403.31,828,2801.75,NA,NA,321.48
"177","ANITA FOR ARIZONA","C00655134","MALIK, ANITA","H8AZ06103","DEM","AZ",6,"west",NA,"GOP Hold",55.2,44.8,10.4,379959.47,133556.76,NA,3593.18,62164,9547.15,NA,NA,1263.67,8913.45,10002.24,20000,12376,NA,12495,13850
"178","FRIENDS OF DANA BALTER","C00655183","BALTER, DANA","H8NY24090","DEM","NY",24,"northeast",NA,"GOP Hold",52.6,47.4,5.2,2741662.89,1338788.63,45963.37,6250,204130.99,15605,383865.47,4397.76,18459.26,382.62,26829.58,NA,NA,NA,NA,12400
"179","BEAU FOR CONGRESS","C00655233","LIEGEOIS, BEAU","H8WI08045","DEM","WI",8,"midwest","C","GOP Hold",63.7,36.3,27.4,375897.04,201000,NA,31000,124143.35,38744.46,66140.25,NA,1380.48,NA,581.81,NA,1e+05,NA,NA,5000
"180","YVETTE4CONGRESS","C00655571","HERRELL, STELLA YVETTE","H8NM02156","REP","NM",2,"west","C","Dem Pickup",50.9,49.1,1.8,1340567.45,108836.05,17500,8743,159960.31,52656.07,5000,NA,1985.35,NA,27354.36,NA,NA,NA,NA,NA
"181","CAMPAIGN TO ELECT YVONNE HAYES HINSON US REPRESENTATIVE","C00655811","HINSON, YVONNE HAYES MS","H8FL03038","DEM","FL",3,"south","C","GOP Hold",57.6,42.4,15.2,55075.22,22193.88,NA,NA,6216.42,NA,NA,NA,NA,NA,NA,6074,6074,1268.33,NA,1553.65
"182","COMMITTEE TO ELECT KENDRA FERSHEE","C00655860","FERSHEE, KENDRA JEAN HUARD","H8WV01075","DEM","WV",1,"south","C","GOP Hold",64.6,35.4,29.2,289288.22,22410.58,NA,NA,93112.8,31510,NA,NA,1025.59,3129.7,11732.33,2521,NA,NA,2677.58,1100
"183","SHIREEN GHORBANI FOR CONGRESS","C00656280","GHORBANI, SHIREEN SARAH","H8UT02255","DEM","UT",2,"west","C","GOP Hold",56.1,38.9,17.2,431459.98,129553.34,NA,NA,25835.75,116.56,36118.15,8481.55,690.09,8792.21,4032.79,3250,63000,NA,3000,1160
"184","DINO FOR CONGRESS","C00656371","ROSSI, DINO","H8WA08205","REP","WA",8,"west","O","Dem Pickup",52.4,47.6,4.8,4854615.28,2783082.51,105700,14000,485935.56,233728.85,320022.16,NA,10209.04,35133.44,577664.31,NA,NA,NA,NA,NA
"185","COMMITTEE TO ELECT CATHY ALBRO FOR CONGRESS","C00656785","ALBRO, CATHERINE","H8MI03079","DEM","MI",3,"midwest","C","GOP Hold",54.4,43.2,11.2,148620.82,5206.14,NA,NA,10829.21,7391.07,48612.1,NA,NA,848.04,911.21,300,NA,NA,NA,4448.14
"186","LIUBA FOR CONGRESS","C00657015","GRECHEN SHIRLEY, LIUBOV LIUBA","H8NY02104","DEM","NY",2,"northeast","C","GOP Hold",53.1,46.9,6.2,2129046.96,NA,47336,89836,465503.15,45641.25,491275.76,5932.8,3729.18,26495.01,89990.57,NA,NA,NA,NA,9995
"187","RICK GREEN FOR CONGRESS","C00657098","GREEN, RICK","H8MA03114","REP","MA",3,"northeast","O","Dem Hold",62,33.5,28.5,1204278,99616.84,NA,3000,256303.73,102955.04,545,NA,1233.65,21034.5,4531.65,NA,NA,NA,NA,16293.09
"188","CANDIUS STEARNS FOR CONGRESS","C00657171","STEARNS, CANDIUS MRS.","H8MI09092","REP","MI",9,"midwest","O","Dem Hold",59.7,36.8,22.9,247191.24,4392.11,14185.2,NA,64656.56,6250,20550.5,NA,NA,3654.26,NA,1500,NA,NA,NA,NA
"189","FRIENDS OF TABITHA ISNER","C00657437","ISNER, TABITHA KAY","H8AL02197","DEM","AL",2,"south","C","GOP Hold",61.5,38.5,23,602567.49,405805.01,24513.3,NA,95463.95,24966.78,108978.66,6374.7,8109.98,11223.54,949.85,NA,2e+05,NA,499.73,7103.53
"190","FLACCAVENTO FOR CONGRESS","C00657619","FLACCAVENTO, ANTHONY JUDE MR","H8VA09066","DEM","VA",9,"south","C","GOP Hold",65.2,34.8,30.4,1049797.11,369595.95,37000,316,16750,30672.39,186614.07,45832.19,21921,15363.22,45354.53,2988.06,348770,893.2,NA,NA
"191","MEL HALL FOR CONGRESS","C00657635","HALL, MEL","H8IN02169","DEM","IN",2,"midwest","C","GOP Hold",54.8,45.2,9.6,6761871.49,134151,192600.38,105351.42,189473.12,18984.81,362176.53,143849.19,37503.66,9135.38,4584.3,NA,NA,NA,NA,NA
"192","JESSE COLVIN FOR CONGRESS","C00657650","COLVIN, JESSE","H8MD01193","DEM","MD",1,"south","C","GOP Hold",60,38.1,21.9,1940578.42,1515186.51,27000,9850,232703.21,81557.5,275350.52,137522.61,6034.04,8592.06,5799.1,3952.27,686065.98,NA,5659.5,7020
"193","KIMBERLIN BROWN PELZER FOR CONGRESS","C00657676","PELZER, KIMBERLIN BROWN","H8CA36170","REP","CA",36,"west","C","Dem Hold",59,41,18,851066.92,257935.92,NA,NA,248661.04,149055.37,34923.84,NA,5738.05,8727.65,7024.91,NA,256138.92,1297,NA,NA
"194","THEOBALD FOR CONGRESS","C00657718","THEOBALD, PAUL GILBERT","H8NE03095","DEM","NE",3,"midwest","C","GOP Hold",76.7,23.3,53.4,71575.28,10000,NA,NA,20000,NA,NA,589.25,NA,NA,306.99,NA,NA,NA,20000,NA
"195","FRIENDS OF STEVE NEGRON","C00657981","NEGRON, STEVE","H8NH02275","REP","NH",2,"northeast",NA,"Dem Hold",55.5,42.2,13.3,519425.89,50454.6,NA,5500,183834.81,6500,73479.31,NA,5045.86,6052,8912.72,1493.9,17004,2120,2000,2256
"196","TIM DONNELLY FOR CONGRESS","C00658021","DONNELLY, TIMOTHY M.","H8CA08120","REP","CA",8,"west","C","GOP Hold",60,40,20,282979.37,16252.25,2500,NA,8688,975,NA,NA,8703.25,30790.79,6183.94,4000,NA,NA,3981,450
"197","LINDA COLEMAN FOR CONGRESS","C00658286","COLEMAN, LINDA","H8NC02110","DEM","NC",2,"south","C","GOP Hold",51.4,45.7,5.7,1657939.82,878027.7,NA,27500,37411.18,5315,150423.87,NA,8054.23,1690.81,318855.13,12198.85,865150,NA,NA,878.66
"198","DENNY WOLFF FOR CONGRESS","C00658328","WOLFF, DENNY","H8PA11095","DEM","PA",9,"northeast","O","GOP Hold",59.7,40.3,19.4,1705392.89,407387.32,45000,31268.09,83601.72,50609.33,259913.17,48628.55,243.45,4970.52,76387.32,202,164543.72,NA,NA,2925
