"","committee_id","total","advertise","poll","research","fundraise","pay","materials","consulting","event","mail","travel","smedia","radio","television","website","newspaper"
"2353","C00668145",9138.31,509.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,435.8,NA
"2354","C00668152",10189.5,2570.93,NA,NA,NA,NA,NA,NA,NA,1579.29,NA,NA,NA,NA,NA,NA
"2355","C00668160",180158.81,3005.88,NA,762.5,NA,8507.46,624.98,NA,590.83,NA,NA,NA,NA,NA,NA,NA
"2356","C00668194",163977.38,10173,NA,NA,183,NA,NA,51262.5,1188.82,6367.2,1567.15,9498,NA,NA,7274.27,NA
"2357","C00668228",2248693.96,1126085.48,143500,8500,34000,289177.8,NA,183356.1,6748.84,150784.28,24875.37,NA,666,NA,NA,NA
"2358","C00668269",256501.43,78520.39,NA,NA,5002.73,17405.84,NA,22786.33,1891.94,NA,NA,NA,NA,NA,NA,NA
"2359","C00668285",39642.77,5105.11,NA,NA,5097.31,5550,NA,4377.67,896.5,NA,1026.09,130,NA,NA,6163.2,NA
"2360","C00668319",4879.3,NA,NA,NA,NA,NA,NA,3550,NA,NA,NA,NA,NA,NA,NA,NA
"2361","C00668335",88280.2,10113,NA,NA,5652.9,NA,NA,NA,NA,2935.63,NA,NA,6529,3584,418,NA
"2362","C00668400",275242.12,31662.6,NA,NA,29524.36,NA,NA,53878.06,766.41,1127,3157.73,NA,NA,NA,2700,NA
"2363","C00668459",6540.99,782,NA,NA,NA,NA,NA,NA,415.95,421.94,NA,NA,NA,NA,NA,NA
"2364","C00668467",8072.43,NA,NA,NA,NA,NA,NA,NA,NA,3242.13,NA,NA,NA,NA,2669.08,NA
"2365","C00668475",391366.49,NA,NA,NA,13500,40786.58,NA,NA,500,99413.98,342.25,20685.62,NA,NA,2500,NA
"2366","C00668483",49682.97,254.43,NA,NA,NA,NA,NA,250,400,NA,NA,5000,NA,NA,363.1,NA
"2367","C00668491",1818777.75,7660,42394,20500,53543.4,NA,NA,331000.28,5206.7,66909.36,20584.02,NA,NA,NA,NA,NA
"2368","C00668525",3694.34,621.17,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,98,NA
"2369","C00668558",14316.02,479.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2370","C00668574",540627.48,24568.19,NA,NA,23456,251247.52,702.69,38956,3186.91,7236.83,327,NA,NA,NA,1190.43,NA
"2371","C00668590",4276.48,NA,NA,NA,NA,1435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2372","C00668608",1602430.94,304851.93,NA,60125,25278.72,314617.82,NA,114530,8979.69,78793.35,37426.27,1889.88,47670.31,257181.62,390.06,NA
"2373","C00668699",719154.75,67813.38,NA,10500,7368.63,65819.92,NA,48644.93,6089.44,6743.65,3698.09,NA,17179.6,NA,NA,NA
"2374","C00668715",52923.27,5258.99,NA,NA,1000,NA,NA,NA,1692.78,1040.13,559.47,NA,NA,NA,NA,NA
"2375","C00668756",81673.03,3380,NA,NA,5850,NA,NA,21876.55,NA,762.71,NA,NA,3380,NA,NA,NA
"2376","C00668798",277586.14,7776,NA,5000,NA,NA,NA,91716.4,1650,5354.87,NA,5341.99,7776,NA,NA,NA
"2377","C00668806",247878.68,NA,NA,24825,14484.37,NA,NA,60573.21,NA,NA,NA,NA,NA,NA,NA,NA
"2378","C00668830",31835.92,2560,NA,NA,100,NA,NA,2560,2948.3,NA,NA,NA,NA,NA,100,NA
"2379","C00668913",13772.2,NA,NA,NA,NA,NA,NA,5950,NA,NA,NA,NA,NA,NA,NA,NA
"2380","C00668939",29056.67,300,NA,NA,412.82,NA,NA,4000,229.69,NA,NA,NA,NA,NA,8.99,NA
"2381","C00668954",121920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2382","C00669010",6897.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2383","C00669069",1644074.1,30294,80250,16500,80976.16,194834.93,NA,37574.51,8076.97,114125.91,NA,NA,NA,NA,NA,NA
"2384","C00669143",129612.26,24581.76,NA,NA,1855.54,8146.81,3208.73,5000,341.34,297.93,9880.51,NA,NA,NA,114.07,206.45
"2385","C00669176",85613.72,769.8,NA,NA,NA,NA,1088.73,13907.55,2000,NA,NA,NA,NA,NA,NA,769.8
"2386","C00669200",1789.45,740.28,NA,NA,NA,NA,NA,NA,NA,33.32,NA,NA,NA,150,NA,NA
"2387","C00669234",12330.57,1,NA,NA,NA,NA,NA,NA,NA,NA,437.09,NA,NA,NA,NA,1
"2388","C00669267",5123.76,NA,NA,NA,NA,NA,NA,4748,NA,NA,NA,NA,NA,NA,NA,NA
"2389","C00669309",5470.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2390","C00669341",13630.75,NA,NA,NA,NA,NA,NA,6800,NA,NA,NA,NA,NA,NA,6600,NA
"2391","C00669358",1813991.7,792891.07,NA,51100,1539.48,NA,8148.71,231616.21,19007.46,49210.16,12742.4,NA,NA,185000,NA,NA
"2392","C00669390",2685.68,334.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.97,NA,NA,NA,NA
"2393","C00669432",68646.87,219.72,NA,NA,NA,NA,NA,NA,NA,2937.6,NA,NA,NA,NA,17376.23,NA
"2394","C00669465",5060,628,NA,NA,NA,NA,NA,NA,NA,1535,NA,NA,NA,NA,NA,NA
"2395","C00669481",956042.7,16825.78,23100,NA,16417.49,143848.37,NA,56202.17,1081,381.85,404.94,NA,NA,16825.78,9000,NA
"2396","C00669507",68123.96,11111.79,NA,NA,1909.2,2922.25,NA,1180.2,NA,3829.06,NA,1500,500,NA,1114,1575
"2397","C00669531",416148.2,41996.05,NA,NA,NA,95992.31,33.49,NA,3563.38,904.59,5166.03,NA,NA,NA,NA,4523.11
"2398","C00669572",2062.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2399","C00669580",431100.47,18463.63,13740,NA,12000,NA,390.6,12000,4245.81,450,NA,NA,2600,5250,NA,900
"2400","C00669614",34933.87,4435.76,NA,NA,NA,NA,NA,NA,32.35,NA,NA,NA,NA,NA,NA,NA
"2401","C00669630",33073.39,8667.95,NA,NA,NA,NA,NA,NA,NA,6581.5,NA,NA,NA,NA,128,NA
"2402","C00669671",220827.93,10635.42,NA,NA,5301,14784.4,NA,5301,209.55,60401.18,NA,13675,NA,NA,4232.36,NA
"2403","C00669689",50085,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA
"2404","C00669713",54283.73,1280.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2405","C00669762",8534.34,590,NA,NA,NA,NA,672.39,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2406","C00669796",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA
"2407","C00669838",21344.32,3005,NA,NA,NA,NA,NA,NA,NA,1116.79,NA,NA,NA,NA,690,NA
