committee_id,consulting
C00200865,444846.31
C00330142,31660.9
C00683516,10000
C00460899,500
C00678524,250
C00666859,74039.16
C00639450,40517.34
C00659714,94197.83
C00367862,200920.15
C00671156,110755.25
C00462374,336189.39
C00608430,3000
C00659912,3300
C00683706,2250
C00634253,881750.22
C00602888,94508.55
C00556506,47527
C00443705,34500
C00664011,16478.29
C00664185,2700
C00681510,350
C00672212,18008.3
C00634220,9000
C00575506,2890.09
C00636621,66633.16
C00650036,458170.58999999997
C00651752,125616.49
C00661678,910.83
C00677880,3500
C00680785,8630.5
C00683268,74351.73999999999
C00154625,8825
C00653451,47449.92
C00473736,50344.03
C00629360,4800
C00570457,28289.08
C00650424,3500
C00657239,21019.95
C00636761,67512.49
C00550301,500
C00660761,4036
C00637884,24663.21
C00580647,941.5300000000002
C00630517,55480.44
C00664607,30762.989999999998
C00172619,57609.35
C00629865,3200
C00632414,10000
C00600981,720
C00630061,12500
C00607101,72532.92
C00605592,185979.62
C00653220,418760.88
C00657833,148766.1
C00659516,3786.96
C00671404,28238.8
C00384735,249.33
C00385773,374756
C00654111,82112.9
C00266940,22056.920000000002
C00670992,45306.51
C00637785,55565.56
C00660993,12500
C00636563,86814
C00672295,449418.5
C00675959,269
C00336388,707110.32
C00666131,23669.5
C00662270,2500
C00670950,11500
C00667527,32792.18
C00451336,84729
C00659326,39050
C00637678,27846.44
C00683888,500
C00664813,2515.16
C00631895,25660
C00607531,27400
C00658195,42000
C00667170,500
C00607879,1500
C00654954,1000
C00640755,5612
C00511923,200
C00669267,4748
C00665653,7750
C00639591,83559.96
C00655704,907
C00612408,41450
C00634212,335059.69
C00670976,24000
C00269340,213199.64
C00439661,712483.12
C00674416,1250
C00290825,472686.68
C00669580,12000
C00331389,5300
C00667675,20717.32
C00664615,6000
C00633859,169976.53
C00665968,2245
C00665141,4500
C00614982,335
C00273169,517066.09
C00633198,167488.61
C00664847,4475
C00629774,121632
C00638999,1393
C00376087,268315
C00632851,10750
C00657213,84526.76000000001
C00659227,21797.17
C00661413,13500
C00612697,1516.5
C00373001,108966.88
C00630954,39017.33
C00441014,410781.27
C00631200,28593.32
C00409797,42000
C00614784,700
C00555458,2500
C00666479,61121.18
C00336065,3876.5
C00219881,178545.96
C00670257,450206.94
C00664755,305
C00577080,1275
C00592956,997
C00416594,464647.67
C00545681,13141.96
C00565366,516
C00430991,324844.9
C00666255,38800
C00636498,2980
C00432906,83279.9
C00369686,2300.5
C00648725,319961.15
C00581397,14950
C00673236,3000
C00664391,961.6
C00666677,5312.55
C00658716,5000
C00665315,21967.16
C00554337,1625
C00602995,13000
C00633131,634.41
C00676502,22100
C00635227,26052.4
C00647974,10500
C00433391,139620.15
C00482307,46860.59
C00662395,63150.56
C00656108,457.45
C00670414,8750
C00553917,13300
C00658401,268030.6
C00599944,2000
C00666230,2996.05
C00392266,674.75
C00669341,6800
C00666883,16174.85
C00654624,10000
C00236513,319520.97
C00624346,15000
C00632497,10000
C00618983,95881.16
C00409409,13789.17
C00386110,9774.17
C00575233,2468.75
C00476853,27280.5
C00470948,22360.989999999998
C00633529,6925
C00632505,73977.35
C00631614,13519
C00226522,281000
C00631234,3000
C00634592,3000
C00632455,14263.42
C00470757,354704.04
C00582338,2300
C00592055,630.22
C00578260,3000
C00579896,55534.58
C00631150,4712
C00557884,1000
C00597690,4250
C00560920,250
C00607291,2194.87
C00611145,4557
C00578666,550
C00285254,77796
C00460402,12687.5
C00629790,16640
C00550608,8935
C00354688,74000
C00156612,29075.31
C00581827,4700
C00465971,5104.6900000000005
C00564948,235
C00419630,182390.24
C00608737,125
C00462697,7016.08
C00614073,350
C00620443,2117237.49
C00254573,72500
C00607002,12715.7
C00588673,268.97
C00631168,50833.43
C00476325,3500
C00633511,1147.5
C00630483,37204.28
C00330811,1613.1399999999999
C00461350,3177.35
C00256925,21702.07
C00630335,2195
C00471292,45148.46
C00433730,24001
C00495507,1500
C00631929,1000
C00445163,7000
C00632174,51200
C00585463,2614.88
C00313247,47800
C00610279,2991.81
C00575035,505.17
C00631358,1000
C00582320,7550
C00590307,3565
C00373563,1500
C00229104,9350.61
C00607325,1000
C00571562,2000
C00632232,120241.03
C00607572,4943.65
C00463687,600
C00575860,16800
C00376673,195078.98
C00631176,699.86
C00609016,2000
C00646547,73628
C00635417,1000
C00415331,332805.37
C00640920,47324.74
C00588491,5000
C00367110,25270.13
C00639609,0
C00640912,3545.5699999999997
C00634287,5136.58
C00634105,3033.26
C00493783,8661.17
C00640904,300
C00636910,6174.67
C00641209,6000
C00288159,20073.6
C00549188,1100
C00637215,22012.77
C00636597,7075
C00646448,30797.68
C00631762,15.84
C00625152,450
C00639302,10500
C00573477,3491.03
C00613760,5149.88
C00615468,704.1
C00634014,2500
C00639658,3272
C00640979,12568.68
C00637330,30010
C00634089,2465.03
C00553990,1100
C00464149,38950.5
C00440909,330822.04
C00636688,3002.47
C00647057,3500
C00640482,6000
C00641175,12256.57
C00637124,11250.14
C00636936,4602.65
C00590943,1212.8
C00615450,1000
C00633602,749
C00588715,3829.2
C00476457,788.11
C00631564,162226.36
C00648766,19595.09
C00647370,40018.47
C00344671,9000
C00379735,48820
C00338954,655670.5
C00637819,2500
C00631978,31324.95
C00640003,439378.28
C00610071,35513
C00590810,32.79
C00659342,11134.7
C00673756,500
C00649012,36362.5
C00647479,2500
C00668699,48644.93
C00668830,2560
C00647008,54172.31
C00665695,12000
C00658005,213625.74
C00650010,8750
C00671057,15930.33
C00674259,211676.73
C00672246,3390
C00665935,26324.48
C00674630,800
C00664904,21883.15
C00536680,3000
C00672899,29257.41
C00608901,2620
C00637306,13270.05
C00287904,138034.71
C00639534,7500.25
C00546549,1500
C00639849,7290.35
C00647875,34250
C00632885,3000
C00649160,6423
C00649608,63848.26
C00650770,1000
C00636381,9048.7
C00648931,24000
C00634113,12028
C00552810,8950
C00637462,9817
C00647040,2316.49
C00638593,310.87
C00648436,7500
C00650085,3750
C00650218,1000
C00658278,600
C00637470,23190
C00649871,2000
C00640680,21628.38
C00650382,9135.84
C00647917,20000
C00587782,17501.260000000002
C00634543,36457.5
C00616920,2000
C00664466,6964.2
C00636613,7600
C00599514,1000
C00637793,7750
C00648618,1200
C00639187,8850
C00639278,8750
C00639310,86601.52
C00639989,105947.78
C00666149,273637.9
C00656793,36291.49
C00671032,145701.21
C00671081,19670.72
C00650614,94932.18
C00640698,27258.06
C00660282,9980.79
