committee_id,event
C00634923,3318.03
C00662841,1422.92
C00637074,12660.04
C00654178,8007.24
C00590307,222.44
C00655175,3881.82
C00663435,2206.95
C00629881,2671.71
C00658062,1440.4
C00605592,78795.85
C00653816,11453.84
C00384057,179412.44
C00639005,2595.63
C00649236,7989.21
C00573980,61581.17
C00653550,3264.45
C00652495,900
C00614776,10159.08
C00652776,4983.32
C00650689,20823.91
C00612796,1189.9
C00662171,9514.18
C00343871,74411.13
C00654749,2999.69
C00597724,13675.21
C00662601,6976.54
C00392670,20536.73
C00650523,1828.6399999999999
C00652636,7339.29
C00639211,3030.63
C00640896,5992.65
C00638726,12674.09
C00327023,4796.86
C00640474,1421.36
C00649020,3420.65
C00333427,34200.15
C00649418,265.74
C00650358,2638.84
C00650572,1059.16
C00373464,175840.32
C00640961,7910.73
C00661066,250
C00653089,140
C00651117,604.47
C00651646,2055.84
C00649558,39995
C00650440,3874.42
C00657056,12426.6
C00422410,42998.65
C00370650,2106.98
C00659920,300
C00631002,1320.3400000000001
C00657635,9135.38
C00655068,1857.63
C00651216,1926.32
C00636183,212
C00667998,1111.43
C00657528,1079.36
C00647537,7856.7699999999995
C00258855,152665.6
C00638346,2879.13
C00656736,400
C00655837,160
C00660381,3412.34
C00663203,1424.99
C00648253,12323.78
C00637371,12881.57
C00499947,4436.7
C00462523,47536.71
C00554899,5179.860000000001
C00648220,28451.22
C00650911,4170.35
C00662932,625
C00654277,6075.21
C00662452,95
C00661025,227
C00578567,2771.04
C00662775,237.77
C00286187,47693.64
C00663161,2043.82
C00558213,7273.99
C00661181,227.33
C00648493,52768.96
C00649459,4525
C00666594,550
C00653923,7411.7300000000005
C00599514,76.11
C00661256,384.86
C00444620,162570.15
C00667097,15171.03
C00664516,653.17
C00545467,15880.38
C00649533,396.15
C00441352,62134.18
C00607556,15742.53
C00654400,24317.1
C00657189,1337
C00550871,5632.25
C00552547,245561.97
C00554261,11439.59
C00554709,7735.93
C00555888,7880
C00556506,21398.66
C00654145,940.2
C00656371,35133.44
C00649731,6152.56
C00658997,12480.16
C00576041,70859.26
C00576173,7588.3099999999995
C00458877,221160.12
C00656165,1524.75
C00639971,2361.93
C00662130,7577.66
C00474189,111336.51
C00649756,13224.53
C00654434,1208.7
C00678037,1523
C00657320,530
C00628917,21162.07
C00654780,52070.14
C00597716,426.03
C00639427,3000.66
C00650929,540.9300000000001
