,candidate_id,candidate_name,candidate,party,state,district,incumbent_challenge,committee_id,committee_name,total,advertise,poll,research,fundraise,pay,materials,consulting,event,mail,travel,smedia,radio,television,website,newspaper
379,H8FL27052,RODRIGUEZ,Rodriguez,DEM,FL,27,O,C00650515,JOSE JAVIER RODRIGUEZ FOR CONGRESS,629888.05,NA,NA,51455,93420.19,162118.93,9744.76,236879.15,54.54,705.85,9322.31,NA,NA,NA,4265,NA
380,H8FL27060,RICHARDSON,Richardson,DEM,FL,27,O,C00649087,DAVID RICHARDSON FOR CONGRESS,2423574.49,223453.57,46500,6000,40290,193476.08,NA,320505.86,3652.28,16558.72,23762.84,NA,NA,NA,25945.08,NA
381,H8FL27078,REGALADO,Regalado,REP,FL,27,O,C00651299,RAQUEL REGALADO FOR CONGRESS,23203.04,NA,NA,NA,NA,NA,NA,3200,NA,NA,NA,3200,NA,NA,3400,NA
382,H8FL27086,BARZEE FLORES,Barzee Flores,DEM,FL,25,O,C00651471,MARY BARZEE FLORES FOR CONGRESS,2192183.44,2062,52275.45,1500,3642.5,206066.12,NA,255065.48,6743.61,25698.34,25432.68,NA,NA,NA,NA,NA
383,H8FL27094,RODRIGUEZ-AGUILERA,Rodriguez-Aguilera,REP,FL,27,O,C00654194,BETTINA RODRIGUEZ-AGUILERA FOR CONGRESS,88198.46,1200,NA,NA,1250,NA,NA,3400,2355,2450,NA,3110,400,400,NA,NA
384,H8FL27102,SOSA,Sosa,REP,FL,27,O,C00670968,GINA SOSA FOR CONGRESS,11344.77,NA,NA,NA,207.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
385,H8FL27110,FERRER,Ferrer,REP,FL,27,C,C00656447,ELECT GABE FERRER,33906.6,900,NA,NA,9490.19,NA,NA,24835.11,NA,NA,472.65,NA,NA,900,2000,NA
386,H8FL27128,RUSSELL,Russell,DEM,FL,27,O,C00646901,KEN RUSSELL FOR CONGRESS,745758.64,17500,NA,69000,NA,9973.85,NA,312678.38,2464.86,332.5,8464.87,NA,NA,NA,3662.49,NA
387,H8FL27136,HAGGMAN,Haggman,DEM,FL,27,O,C00651851,MATT HAGGMAN FOR CONGRESS,1589780.84,10440,49900,15356.6,NA,259408.89,5815.92,251976.26,3295.46,42502.11,2565.62,NA,NA,NA,4000,NA
388,H8FL27169,BALAGUER,Balaguer,REP,FL,27,O,C00664649,ARIADNA BALAGUER FOR CONGRESS,59269.66,NA,NA,57500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
389,H8FL27177,CHIRINO,Chirino,REP,FL,27,O,C00664763,ANGIE CHIRINO FOR CONGRESS,50544.4,350,2500,NA,21729.03,NA,NA,3015,819.61,NA,NA,NA,350,NA,NA,NA
390,H8FL27185,SALAZAR,Salazar,REP,FL,27,O,C00671859,MARIA ELVIRA SALAZAR FOR CONGRESS,2097963.47,362177.04,50400,28450,125908.48,1250,NA,255390.51,29126.38,142544.92,3373.82,17000,174695,182282.04,36204.12,NA
391,H8FL27193,SHALALA,Shalala,DEM,FL,27,I,C00672311,DONNA SHALALA FOR CONGRESS,4679739.96,624208.45,173738.42,89101.48,113837.11,534461.09,NA,615065.96,30833.11,39874.22,47991.55,NA,NA,575128.94,NA,NA
392,H8FL27201,OHEVZION,Ohevzion,REP,FL,27,O,C00672949,MIKE 4 FLORIDA,212641.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
393,H8FL27219,ADADI,Adadi,REP,FL,27,O,C00673004,ELIZABETH ADADI FOR CONGRESS CAMPAIGN COMMITTEE,15669.22,1968.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1968.75,NA,NA,NA
394,H8GA01063,RING,Ring,DEM,GA,1,C,C00648287,"THE COMMITTEE TO ELECT LISA RING, LLC",191727.78,14331.53,NA,NA,1619.25,64637.19,53.29,NA,3339.77,513.38,400.93,NA,NA,NA,999.88,NA
395,H8GA01071,SEIDMAN,Seidman,DEM,GA,1,C,C00655837,SEIDMAN FOR CONGRESS,55456.49,1412.34,NA,NA,NA,NA,565.25,8500,160,NA,372.68,1538.25,NA,NA,102,777.83
396,H8GA02061,MCPHERSON,Mcpherson,REP,GA,2,C,C00656165,BRUCE MCPHERSON FOR CONGRESS,114135.77,NA,NA,NA,2682.51,NA,NA,11182.51,1524.75,58223.56,NA,NA,NA,NA,NA,NA
397,H8GA02087,WEST,West,REP,GA,2,C,C00670380,THE COMMITTEE TO ELECT HERMAN WEST JR,15776.98,600,NA,NA,NA,NA,NA,NA,2450,NA,519.27,NA,300,NA,NA,NA
398,H8GA03044,SINGLETON,Singleton,REP,GA,3,C,C00647891,PHILIP SINGLETON FOR CONGRESS,15815.74,226.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
399,H8GA03051,ENDERLIN,Enderlin,DEM,GA,3,C,C00647446,COMMITTEE TO ELECT CHUCK ENDERLIN,52617.35,12188.61,3520,NA,NA,209.68,NA,NA,NA,15876.76,NA,NA,NA,NA,NA,744
400,H8GA03069,OLIVER,Oliver,DEM,GA,3,C,C00653428,COMMITTEE TO ELECT RUSTY OLIVER,12423.17,2271.89,NA,NA,140.39,NA,233.18,1350,NA,NA,240.86,NA,NA,NA,NA,NA
401,H8GA04117,PARKS,Parks,DEM,GA,4,C,C00654699,THE COMMITTEE TO ELECT JUAN PARKS,12956.28,381.67,NA,NA,42.76,NA,438.74,NA,13.76,81.98,795.61,NA,NA,NA,NA,NA
402,H8GA04125,PROFIT,Profit,REP,GA,4,C,C00675777,JOE PROFIT FOR CONGRESS LLC,79051.16,2000,NA,NA,NA,1600,NA,NA,NA,NA,225,NA,2000,NA,5052.15,NA
403,H8GA06211,KEATLEY,Keatley,DEM,GA,6,C,C00630772,KEATLEY FOR CHANGE,59633.42,NA,NA,NA,NA,NA,1766.5,23145.94,3796.83,NA,NA,NA,NA,NA,NA,NA
404,H8GA06286,HANDEL,Handel,REP,GA,6,C,C00633362,"HANDEL FOR CONGRESS, INC.",8784153.66,360014.56,108020,139676.38,769741.32,288655.77,NA,1109073.3,118736.56,226847.68,27339.25,NA,NA,NA,11874.32,NA
405,H8GA06286,HANDEL,Handel,REP,GA,6,C,C00634949,FRIENDS OF HANDEL,66168.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
406,H8GA06351,LEVELL,Levell,REP,GA,6,C,C00633511,LEVELL FOR A BETTER AMERICA INC,56678.42,525,NA,NA,5764.69,13757.45,NA,1147.5,63.54,NA,1416.62,NA,NA,NA,NA,262.5
407,H8GA06369,KAPLE,Kaple,DEM,GA,6,C,C00658922,BOBBY KAPLE FOR CONGRESS,778854.65,NA,16100,11014.95,NA,197799.41,1664.28,101360.1,1226.51,NA,903.56,NA,NA,NA,NA,NA
408,H8GA06377,ABEL,Abel,DEM,GA,6,C,C00658625,"KEVIN ABEL FOR CONGRESS, INC.",896123.83,460037.67,32700,4003.1,1025,82876.8,NA,32155.74,5441.75,245409.57,NA,NA,NA,150000,NA,NA
409,H8GA06393,MCBATH,Mcbath,DEM,GA,6,I,C00672295,FRIENDS OF LUCY MCBATH,2633448.81,1485300.97,147180,15200,2480,193861.97,NA,449418.5,9917.82,7308,14665.06,4328.97,NA,NA,168,NA
410,H8GA06401,GRIFFIN,Griffin,DEM,GA,6,C,C00672642,GRIFFIN FOR CONGRESS,11033.68,NA,NA,NA,NA,NA,NA,NA,346.83,NA,NA,NA,NA,NA,NA,NA
411,H8GA07144,ALLEN,Allen,DEM,GA,7,C,C00638205,COMMITTEE TO ELECT KATHLEEN ALLEN,66036.67,NA,750,NA,1190.7,NA,NA,12008.3,1150,1720.7,NA,NA,NA,NA,25,NA
412,H8GA07151,KIM,Kim,DEM,GA,7,O,C00647131,DAVID KIM FOR CONGRESS,2001990.19,517250.93,NA,45400,38038.47,421557.24,3237.67,538623.97,18315.27,834.11,13228.85,NA,1480,NA,NA,NA
413,H8GA07169,REILLY,Reilly,DEM,GA,7,C,C00648170,STEVE REILLY FOR CONGRESS,46438.88,NA,NA,NA,967.86,NA,NA,9838.16,2261.69,5938.4,NA,NA,NA,NA,1320,NA
414,H8GA07177,PHAM,Pham,DEM,GA,7,C,C00650929,ETHAN PHAM FOR CONGRESS,551464.83,13351.83,NA,2500,15037.64,206749.23,94845.78,78700.32,540.93,NA,NA,NA,5065,NA,NA,NA
415,H8GA07185,DAVIS,Davis,DEM,GA,7,C,C00652917,MELISSA DAVIS FOR CONGRESS,64302.45,748.29,NA,NA,NA,NA,NA,39354.6,NA,NA,NA,400,NA,NA,NA,NA
416,H8GA07193,HAZEL,Hazel,REP,GA,7,C,C00653089,SHANE HAZEL FOR CONGRESS,54805.18,2180.15,NA,NA,NA,NA,NA,26008.59,140,110.75,NA,NA,NA,NA,NA,NA
417,H8GA07201,BOURDEAUX,Bourdeaux,DEM,GA,7,O,C00649376,CAROLYN FOR CONGRESS,3164529.71,4000.99,NA,96000,73351.41,616881.12,NA,245214.9,10026.66,193354.83,21501.74,NA,NA,NA,1522.59,NA
418,H8GA08076,SWANN,Swann,DEM,GA,8,C,C00633131,FRED SWANN FOR CONGRESS,10405.88,NA,NA,NA,3500,NA,NA,634.41,NA,NA,NA,NA,NA,NA,25,NA
419,H8GA08092,ELLYSON,Ellyson,REP,GA,8,C,C00639781,DANIEL ELLYSON 2018,484.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
420,H8GA09058,MCCALL,Mccall,DEM,GA,9,C,C00647222,CAMPAIGN TO ELECT JOSH MCCALL,89101.39,3308.57,NA,NA,225,NA,NA,40567.9,5448.23,951.46,475.53,1489.19,900,NA,NA,348.95
421,H8GA09066,COOPER,Cooper,DEM,GA,9,C,C00671198,COOPER 4 CONGRESS GA,27794.92,NA,NA,NA,NA,NA,NA,8675,NA,4450.78,NA,NA,NA,NA,NA,NA
422,H8GA10148,MONTGOMERY,Montgomery,DEM,GA,10,C,C00649640,MONTGOMERY FOR CONGRESS,86325.81,NA,NA,322.89,NA,34050,493.31,16895.41,238.77,4480,1067.58,NA,NA,NA,1678.12,NA
423,H8GA10163,HUNT,Hunt,REP,GA,10,C,C00657163,COMMITTEE TO ELECT JOE HUNT,12342.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
424,H8GA10171,WINFIELD,Winfield,DEM,GA,10,C,C00664755,WINFIELD FOR CONGRESS,126664.33,3194.11,NA,NA,500,32100,5235.92,305,300,50098.82,250,NA,340,NA,901.02,NA
425,H8GA10189,GRIFFIN,Griffin,REP,GA,10,C,C00665851,BRADLEY GRIFFIN FOR CONGRESS,9841.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
426,H8GA10197,JOHNSON-GREEN,Johnson-Green,DEM,GA,10,C,C00674143,JOHNSON-GREEN FOR CONGRESS,17601.79,NA,NA,NA,3750,NA,NA,NA,673.42,NA,1434.76,NA,NA,NA,220.08,NA
427,H8GA11047,WYNN,Wynn,DEM,GA,11,C,C00658716,ADAM WYNN FOR GEORGIA,9454.29,NA,NA,NA,5000,NA,NA,5000,NA,NA,NA,NA,NA,NA,NA,NA
428,H8GA11062,BROADY,Broady,DEM,GA,11,C,C00675959,COMMITTEE TO ELECT FLYNN D. BROADY JR.,43634.3,3900,NA,NA,2633.21,700,NA,269,1000,48.46,NA,NA,NA,NA,2998,NA
429,H8GA12052,NESMITH,Nesmith,DEM,GA,12,C,C00651711,NESMITH FOR CONGRESS,36140.41,NA,NA,NA,NA,5881.9,NA,NA,324,NA,NA,NA,NA,NA,224.7,NA
430,H8GA12078,JOHNSON,Johnson,DEM,GA,12,C,C00666941,FRANCYS JOHNSON FOR CONGRESS,260760.21,6143.75,NA,NA,NA,12564.06,NA,5500,7349.58,NA,7982.4,800,1600,500,3697.02,1238.58
431,H8GA12094,INGHAM,Ingham,DEM,GA,12,C,C00674796,INGHAM FOR 12TH,499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
