"","committee_name","committee_id","candidate_name","candidate_id","party","state","district","region","incumbent_challenge","hold_flip","win_per","lose_per","delta","total","advertise","poll","research","consulting","fundraise","pay","materials","travel","event","mail","radio","television","newspaper","smedia","website","per_advertise","per_poll","per_research","per_consulting","per_fundraise","per_pay","per_materials","per_travel","per_event","per_mail","per_radio","per_television","per_newspaper","per_smedia","per_website"
"60","JAMES THOMPSON FOR KANSAS","C00631572","THOMPSON, JAMES A MR.","H8KS04120","DEM","KS",4,"midwest","C","GOP Hold",59.8,40.2,19.6,1523227.75,192311.26,6500,20361.47,324605.18,30560.69,230040.88,25616.85,28685.23,18922.5,7071.79,541.87,120525,15000,10000,8437,0.126252466185703,0.00426725419097702,0.0133673181833774,0.213103509964285,0.0200631126894846,0.151021986042468,0.0168174785418661,0.0188318719902523,0.0124226334505789,0.0046426346946476,0.000355738004379188,0.0791247402103855,0.00984750967148544,0.00656500644765696,0.00553889593988818
"61","JANA LYNNE SANCHEZ FOR US CONGRESS","C00631978","SANCHEZ, JANA LYNNE MS","H8TX06183","DEM","TX",6,"south","O","GOP Hold",53.1,45.4,7.7,702857.99,46228.05,2500,45126.32,31324.95,46267.92,20563.96,NA,557.12,4639.43,2881.75,696,NA,NA,NA,NA,0.0657715365802415,0.00355690628202149,0.0642040364370049,0.0445679645756037,0.0658282621216272,0.0292576314028955,NA,0.000792649451135926,0.00660080708479959,0.00410004587128618,0.000990242708914784,NA,NA,NA,NA
"62","FRIENDS OF VANGIE WILLIAMS","C00632059","WILLIAMS, LAVANGELENE A","H8VA01303","DEM","VA",1,"south","C","GOP Hold",55.2,44.8,10.4,267839.27,4215.88,NA,7800,26415.71,12201.6,120741.91,11440.04,2406.04,2147.47,NA,NA,NA,2700,NA,395.74,0.0157403356124739,NA,0.0291219431713654,0.0986252314681114,0.0455556797179144,0.4507998771054,0.0427123326613009,0.00898314873692719,0.00801775632079642,NA,NA,NA,0.0100806726362419,NA,0.00147752792187643
"63","CLAUDIA TENNEY FOR CONGRESS","C00632828","TENNEY, CLAUDIA","H4NY22051","REP","NY",22,"northeast","I","Dem Pickup",50.9,49.1,1.8,3273383.97,34319.66,NA,99700,605200.32,300764.49,143890.6,NA,91600.64,72732.21,141757.88,NA,NA,NA,NA,NA,0.0104844589924475,NA,0.0304577773074388,0.184885221393688,0.0918818240562228,0.0439577517696465,NA,0.0279834693514431,0.0222192723696878,0.0433062180603273,NA,NA,NA,NA,NA
"64","HANDEL FOR CONGRESS, INC.","C00633362","HANDEL, KAREN CHRISTINE","H8GA06286","REP","GA",6,"south","C","Dem Pickup",50.5,49.5,1,8784153.66,360014.56,108020,139676.38,1109073.3,769741.32,288655.77,NA,27339.25,118736.56,226847.68,NA,NA,NA,NA,11874.32,0.0409845471669493,0.0122971437182259,0.0159009490733339,0.126258412924894,0.0876283987955648,0.0328609654581111,NA,0.00311233740417059,0.0135171314842414,0.0258246484271998,NA,NA,NA,NA,0.00135178873908724
"65","JULIA PEACOCK FOR CONGRESS","C00634014","PEACOCK, JULIA C.","H8CA42228","DEM","CA",42,"west","C","GOP Hold",56.5,43.5,13,154296.86,13488.23,NA,NA,2500,400,NA,NA,2774.45,1425.18,510.33,NA,NA,NA,NA,730.65,0.0874173978653875,NA,NA,0.016202533220702,0.00259240531531231,NA,NA,0.0179812473176706,0.00923661051819201,0.00330745551140833,NA,NA,NA,NA,0.00473535235908236
"66","ARCHIE PARNELL FOR CONGRESS","C00634709","PARNELL, ARCHIE","H8SC05174","DEM","SC",5,"south","C","GOP Hold",57.1,41.5,15.6,2268805.34,56579.22,NA,64300,1141762.71,17250,610992.99,27998.45,1903.99,23131.38,5439.92,NA,24019,NA,NA,13250,0.0249378908813746,NA,0.0283409064966323,0.503244015636881,0.00760312032763463,0.269301636076015,0.0123406135847688,0.000839203772325395,0.0101954008976372,0.00239770239609891,NA,0.0105866288202583,NA,NA,0.0058400779328208
"67","FRIENDS OF DOUG BENNETT","C00634808","BENNETT, DOUGLAS R 1963","H8IL10115","REP","IL",10,"midwest","C","Dem Hold",65.6,34.4,31.2,286570.32,7350.47,2605,NA,47296.2,71867.55,NA,1705.64,NA,18068.24,27555.22,NA,NA,NA,4470.9,139.93,0.0256497951357977,0.00909026447679578,NA,0.165042213722621,0.250785042917215,NA,0.00595190737128674,NA,0.0630499348292594,0.0961551775494406,NA,NA,NA,0.015601406314513,0.000488292018517479
"68","FRIENDS OF HANDEL","C00634949","HANDEL, KAREN CHRISTINE","H8GA06286","REP","GA",6,"south","C","Dem Pickup",50.5,49.5,1,66168.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","VANESSA FOR CONGRESS","C00635797","ADIA, VANESSA MICHELLE","H8TX12074","DEM","TX",12,"south","C","GOP Hold",64.3,33.9,30.4,187096.45,41092.01,NA,300,NA,2497.8,NA,NA,8686.17,1205,NA,NA,NA,NA,NA,NA,0.21963008918662,NA,0.00160345105425571,NA,0.013350333477733,NA,NA,0.0464261614798143,0.00644052840126042,NA,NA,NA,NA,NA,NA
"70","AJA SMITH FOR CONGRESS","C00635854","SMITH, AJA","H8CA41170","REP","CA",41,"west","C","Dem Hold",65.1,34.9,30.2,47943.23,NA,NA,NA,6308,4308,NA,NA,NA,NA,6551.3,NA,NA,NA,NA,NA,NA,NA,NA,0.131572278296644,0.0898562737637827,NA,NA,NA,NA,0.136647030248066,NA,NA,NA,NA,NA
"71","LINSEY FAGAN FOR TEXAS","C00635870","FAGAN, LINSEY","H8TX26124","DEM","TX",26,"south","C","GOP Hold",59.4,39,20.4,92788.81,6463.85,NA,NA,35126.98,3208.64,8205,-1491.37,3591.09,2392.32,NA,NA,NA,NA,NA,-53.91,0.0696619560052554,NA,NA,0.378569139964183,0.0345800317947822,0.088426610924313,-0.0160727354947218,0.0387017572485303,0.025782419237837,NA,NA,NA,NA,NA,-0.000580996781831775
"72","AMMAR CAMPA FOR CONGRESS","C00635888","CAMPA-NAJJAR, AMMAR","H8CA50098","DEM","CA",50,"west","C","GOP Hold",51.7,48.3,3.4,4055070.47,1013447.48,14900,NA,284014.07,137385.8,NA,NA,11279.89,37399.9,107555.13,NA,NA,NA,1411.53,19247.06,0.249921052543385,0.00367441209967431,NA,0.0700392439789092,0.0338800030767406,NA,NA,0.00278167545630841,0.00922299631453754,0.0265236155069828,NA,NA,NA,0.000348090128258609,0.00474641813068171
"73","COMMITTEE TO ELECT MORGAN FOR MICHIGAN","C00636324","MORGAN, MATTHEW WADE","H8MI01149","DEM","MI",1,"midwest","C","GOP Hold",56.3,43.7,12.6,1565860.44,12879.07,43300,15376.9,170825.46,14280.4,318756.02,NA,37498.41,4945.37,77359.95,4506,NA,NA,NA,42747.61,0.00822491562530311,0.0276525282163716,0.00982009610000748,0.109093668654149,0.00911984212335041,0.203566047048229,NA,0.0239474789975536,0.00315824442183366,0.0494041154778775,0.0028776510887522,NA,NA,NA,0.0272997573142598
"74","FRIENDS OF RENEE HOAGENSON","C00636621","HOAGENSON, SUZANNE RENEE","H8MO04071","DEM","MO",4,"midwest","C","GOP Hold",64.8,32.7,32.1,434116.89,86838.45,3500,3500,66633.16,10262.2,28586,6541.08,477.6,2875.6,32667.48,5439,NA,NA,7458.57,3205.86,0.200034718759733,0.00806234468324879,0.00806234468324879,0.153491286644019,0.0236392553166959,0.0658486243186714,0.01506755473163,0.00110016452020561,0.00662402239175721,0.0752504239123246,0.0125288836377686,NA,NA,0.0171810177668968,0.00738478523606856
"75","MARY GEREN FOR CONGRESS","C00636696","GEREN, MARY SMITH","H8SC03070","DEM","SC",3,"south","C","GOP Hold",67.8,31,36.8,298296.8,24054.98,2500,NA,91031.11,19406.11,12590.5,3041.75,3965.53,21232.59,3863.4,313.12,NA,NA,NA,NA,0.0806410930321747,0.00838091457903672,NA,0.305169582777958,0.0650563800885561,0.0422079620029447,0.010197058768314,0.013293907276243,0.0711794092326837,0.0129515301538602,0.00104969278919519,NA,NA,NA,NA
"76","DAN WOOD FOR CONGRESS","C00636860","WOOD, DANNY EUGENE JR","H8TX05086","DEM","TX",5,"south","O","GOP Hold",62.4,37.6,24.8,108332.05,255.64,NA,NA,12323.52,1627.81,33573.39,843.81,NA,2162.6,1495.26,NA,NA,255.64,NA,1072.39,0.0023597818004921,NA,NA,0.113756916812707,0.0150261164632258,0.309911886648503,0.007789107655583,NA,0.0199626980196535,0.0138025635072908,NA,NA,0.0023597818004921,NA,0.00989910188166845
"77","EDWARDS FOR NEW HAMPSHIRE","C00637397","EDWARDS, EDDIE","H8NH01152","REP","NH",1,"northeast","O","Dem Hold",53.5,45,8.5,1221724.18,5446.02,NA,NA,432319.27,73621.61,NA,NA,9558.65,8454.68,138189.72,2500,NA,NA,7000,9828.38,0.00445765098960389,NA,NA,0.353859960437224,0.0602604181902989,NA,NA,0.00782390179099181,0.00692028539535004,0.11311040762081,0.00204628838564855,NA,NA,0.00572960747981594,0.0080446799374962
"78","FRIENDS OF RANDY WADKINS","C00637660","WADKINS, RANDY MACK DR.","H8MS01145","DEM","MS",1,"south","C","GOP Hold",67,32.3,34.7,144444.36,15998.6,NA,NA,25000,3164.49,NA,303.96,7538.69,4194.38,5898.8,8162,NA,660,189,2228.58,0.110759603213307,NA,NA,0.173077024260414,0.0219080205000735,NA,0.00210433969176782,0.0521909612808697,0.0290380323606958,0.0408378700282933,0.05650618688054,NA,0.00456923344047493,0.00130846230340873,0.015428639789051
"79","D.D. ADAMS FOR CONGRESS","C00637785","ADAMS, DENISE DARCEL","H8NC05063","DEM","NC",5,"south","C","GOP Hold",57.2,42.8,14.4,355428.68,14406,4750,NA,55565.56,8854.18,63100,8443.17,2305.99,8092.75,13772.48,750,12586,NA,NA,3864.94,0.0405313381013597,0.0133641438276731,NA,0.156333923306358,0.0249112705254961,0.177532100110773,0.0237548922613673,0.00648791200530019,0.0227689842024003,0.0387489270702634,0.00211012797279049,0.0354107608873882,NA,NA,0.0108740240095425
"80","BETSY RADER FOR CONGRESS","C00637967","RADER, ELIZABETH ANNE","H8OH14111","DEM","OH",14,"midwest","C","GOP Hold",55.2,44.8,10.4,2595177.1,27996.41,NA,10000,54033.27,61484.56,745629.22,84.7,4569.3,15534.89,5541.3,NA,NA,NA,NA,687.53,0.0107878610673622,NA,0.00385330157236668,0.0208206484251113,0.0236918551724273,0.287313424582854,3.26374643179458e-05,0.00176068908746151,0.00598606160635434,0.00213523000029555,NA,NA,NA,NA,0.000264926043004926
"81","COMMITTEE TO ELECT ROB DAVIDSON","C00638254","DAVIDSON, ROBERT MICHAEL DR","H8MI02113","DEM","MI",2,"midwest","C","GOP Hold",55.3,43,12.3,1348154.26,696.54,33771.58,7249.4,33466.07,54353.12,187414.41,NA,11366.65,6194.05,2323.32,NA,NA,NA,NA,192.85,0.000516661943418849,0.025050234236548,0.00537727781982456,0.0248236207034646,0.0403166919488872,0.139015553012457,NA,0.00843126809538843,0.00459446680827163,0.00172333394547891,NA,NA,NA,NA,0.000143047428415202
"82","MIGUEL LEVARIO FOR CONGRESS","C00638353","LEVARIO, MIGUEL ANTONIO MR. PHD","H8TX19111","DEM","TX",19,"south","C","GOP Hold",75.2,24.8,50.4,89303.89,11547.29,NA,NA,386.17,NA,NA,1363.14,NA,NA,2231.31,NA,NA,NA,129.15,NA,0.129303325980537,NA,NA,0.00432422372642446,NA,NA,0.0152640607256862,NA,NA,0.0249855857342832,NA,NA,NA,0.00144618560288919,NA
"83","KANEW FOR CONGRESS","C00638403","KANEW, JUSTIN","H8TN07068","DEM","TN",7,"south","O","GOP Hold",66.9,32.1,34.8,420215.52,63251.6,NA,5689.5,23301,NA,NA,NA,13070.71,70,300,NA,NA,NA,NA,NA,0.150521808428208,NA,0.0135394808835238,0.0554501175967989,NA,NA,NA,0.0311047769011482,0.000166581186720567,0.000713919371659571,NA,NA,NA,NA,NA
"84","ANDREW JANZ FOR CONGRESS","C00638510","JANZ, ANDREW","H8CA22139","DEM","CA",22,"west","C","GOP Hold",52.7,47.3,5.4,9154086.77,4698749.18,179960.07,25471.25,312322.73,109207.05,393292.51,NA,28029.66,32844.57,1861392.8,NA,NA,NA,NA,NA,0.513295241574382,0.0196589866932188,0.00278250038916771,0.0341183930027353,0.0119298683466598,0.0429635986507041,NA,0.00306198321080586,0.00358796795630549,0.203340086976257,NA,NA,NA,NA,NA
"85","FRIENDS OF DANNER KLINE","C00638536","KLINE, DANNER","H8AL06099","DEM","AL",6,"south","C","GOP Hold",69.2,30.8,38.4,283992.96,NA,NA,4739.46,2713.72,19962.8,52847.02,1824.3,990.13,5690.6,44753.37,NA,NA,NA,NA,1612,NA,NA,0.0166886531271761,0.00955558898361424,0.0702932917773736,0.186085669165884,0.00642375078593497,0.00348645966435224,0.020037820655836,0.157586195094414,NA,NA,NA,NA,0.0056761970437577
"86","GALBRAITH FOR CONGRESS","C00638999","GALBRAITH, JOHN MICHAEL","H8OH05150","DEM","OH",5,"midwest","C","GOP Hold",62.3,35.1,27.2,285402.51,8371.8,NA,NA,1393,10765.32,36673.3,283.56,1318.18,1067.96,8638.33,NA,NA,NA,NA,3258,0.0293333089467223,NA,NA,0.00488082603057696,0.0377197803901584,0.128496767600257,0.000993544170301796,0.00461866996194252,0.0037419432646195,0.0302671830041018,NA,NA,NA,NA,0.0114154567176021
"87","BECK 4 INDIANA","C00639013","BECK, TOBI","H8IN04124","DEM","IN",4,"midwest","O","GOP Hold",64.1,35.9,28.2,112177.95,3240.04,NA,NA,38365.35,286.5,3461.55,NA,431.76,NA,16711.37,NA,NA,NA,NA,NA,0.0288830380658588,NA,NA,0.342004377865704,0.00255397785393654,0.0308576685525097,NA,0.00384888474071776,NA,0.148971968198741,NA,NA,NA,NA,NA
"88","EASTMAN FOR CONGRESS","C00639310","EASTMAN, KARA","H8NE02220","DEM","NE",2,"midwest","C","GOP Hold",51,49,2,2548774.59,1067020.75,27923.65,18100.23,86601.52,100076.89,510353.52,3448.05,16347.75,19738.56,183564.19,8500.47,996699.47,NA,NA,136.7,0.418640688818229,0.0109557157818338,0.00710154207869751,0.0339777084799013,0.0392647079865937,0.200234858744413,0.00135282657537794,0.00641396460249551,0.00774433332686356,0.0720205665578297,0.00333512034895169,0.391050457702499,NA,NA,5.36336169296164e-05
"89","DAYNA STEELE CAMPAIGN","C00639419","STEELE, DAYNA MS.","H8TX36024","DEM","TX",36,"south","C","GOP Hold",72.6,27.4,45.2,1110613.81,64452.12,3500,22700,13300,9431.69,457017.34,3314.28,10320,35073.72,193.56,3200,NA,NA,17693,4183.08,0.0580328818349558,0.00315141047993992,0.020439147969896,0.0119753598237717,0.00849232191701272,0.411499781368647,0.00298418763584436,0.00929215890085141,0.0315804825081367,0.00017428200357062,0.00288128958165935,NA,NA,0.0159308301775934,0.00376645775726488
"90","ELLIS FOR CONGRESS","C00639450","ELLIS, KATHRYN GAIL","H8MO08098","DEM","MO",8,"midwest","C","GOP Hold",73.4,25,48.4,200733.17,NA,NA,NA,40517.34,13983.22,NA,454.54,NA,5751.22,604.28,NA,NA,NA,NA,499,NA,NA,NA,0.201846760054654,0.0696607341975419,NA,0.00226439905273254,NA,0.0286510694769579,0.00301036445546095,NA,NA,NA,NA,0.00248588711073511
"91","TODD LITTON FOR CONGRESS","C00639526","LITTON, TODD CATLETT","H8TX02067","DEM","TX",2,"south","O","GOP Hold",52.8,45.6,7.2,1720829.1,5208.31,33200,3000,20500,37000,307285.85,NA,5659.5,12048.09,129999.33,NA,NA,NA,NA,7600.75,0.00302662826889666,0.0192930256700099,0.00174334569307318,0.0119128622360001,0.0215012635479026,0.178568487713277,NA,0.00328882164998256,0.00700132860375269,0.0755445906859664,NA,NA,NA,NA,0.00441691159220866
"92","MARIAH PHILLIPS FOR CONGRESS","C00639641","PHILLIPS, MARIAH NICOLE","H8TN04099","DEM","TN",4,"south","C","GOP Hold",63.4,33.6,29.8,607677.55,134966.29,NA,176.92,177430.94,71331.32,46679.47,NA,1254.98,14547.43,2844.94,NA,NA,NA,1628.95,5609,0.222101820282813,NA,0.000291141247525106,0.291982055285735,0.117383503800659,0.0768161831879424,NA,0.00206520711518798,0.0239393902243056,0.00468166052868005,NA,NA,NA,0.00268061573115545,0.00923022415424101
"93","ANTONIO SABATO JR FOR CONGRESS","C00639690","SABATO, ANTONIO","H8CA26114","REP","CA",26,"west","C","Dem Hold",61.9,38.1,23.8,381955.61,9000,NA,NA,132516.41,23738.45,NA,NA,29897.4,7588.68,2152.91,NA,NA,NA,NA,NA,0.0235629475372806,NA,NA,0.346941912962085,0.0621497613295953,NA,NA,0.0782745408556769,0.0198679631908012,0.00563654504249852,NA,NA,NA,NA,NA
"94","KYLE HORTON FOR CONGRESS","C00639773","HORTON, LAUREN","H8NC07101","DEM","NC",7,"south","C","GOP Hold",55.6,42.7,12.9,957380.27,381970.83,23755,25495,100497.4,41652.4,268856.77,19549.76,3486.05,23213.98,59408.21,NA,86381.88,NA,2625,NA,0.398975038413942,0.0248125021419127,0.0266299617810173,0.104971246169508,0.0435066413056538,0.28082547596265,0.0204200573299886,0.00364123860626457,0.0242473975361953,0.0620528873025553,NA,0.0902273450861903,NA,0.00274185721416632,NA
"95","ADRIENNE BELL 2018","C00639872","BELL, ADRIENNE","H8TX14120","DEM","TX",14,"south","C","GOP Hold",59.2,39.3,19.9,194260.89,20474.8,NA,NA,39951.26,11525,61694.54,NA,1025.18,350,4843.47,NA,NA,NA,NA,NA,0.105398466979123,NA,NA,0.205657762609859,0.0593274333294777,0.317586005088312,NA,0.00527733606079947,0.00180170079525529,0.0249328107165575,NA,NA,NA,NA,NA
"96","COMMITTEE TO ELECT RICHARD OJEDA","C00639989","OJEDA, RICHARD NEECE SENATOR II","H8WV03048","DEM","WV",3,"south","O","GOP Hold",56.4,43.6,12.8,2819552.7,18368.37,32050,16500,105947.78,95635.8,329895.31,NA,52305.19,10799.85,1551.95,NA,NA,NA,NA,75.94,0.00651463971572512,0.0113670512347579,0.00585199205533559,0.0375760949600268,0.0339187843518584,0.117002711103786,NA,0.018550882201989,0.00383034159992824,0.000550424186077458,NA,NA,NA,NA,2.69333501019506e-05
"97","SARAH SMITH 2018","C00640151","SMITH, SARAH","H8WA09054","DEM","WA",9,"west","C","Dem Hold",67.9,32.1,67.9,103793.82,14592.28,NA,NA,14034.38,NA,NA,NA,1143.17,12601.73,NA,NA,NA,NA,410.52,NA,0.140589102511113,NA,NA,0.135214023339733,NA,NA,NA,0.0110138541967142,0.121411178430469,NA,NA,NA,NA,0.00395514877475364,NA
"98","STEVE FERRARA FOR CONGRESS","C00640268","FERRARA, STEVE MD","H8AZ09024","REP","AZ",9,"west","O","Dem Hold",61.1,38.9,22.2,1624888.15,45031.95,NA,8000,345342.06,124353.63,3500,NA,14883,15672.87,107.5,NA,NA,NA,14000,319.06,0.0277138767982276,NA,0.00492341580557406,0.212532819566688,0.0765305784278136,0.00215399441493865,NA,0.00915939967929485,0.00964550698458845,6.61583998874015e-05,NA,NA,NA,0.00861597765975461,0.000196358130865808
"99","JOHN CHRIN FOR CONGRESS","C00640839","CHRIN, JOHN R","H8PA17050","REP","PA",8,"northeast","C","Dem Hold",54.6,45.4,9.2,3119135.05,2143518.58,NA,96417,353335.59,205015.42,123712.32,NA,68662.43,105912.54,143845.65,12625,997719.44,NA,NA,NA,0.687215701032246,NA,0.0309114541225139,0.113279990874393,0.0657282922071617,0.0396623801204119,NA,0.022013291793826,0.0339557403902726,0.0461171599479157,0.00404759646428262,0.319870548727924,NA,NA,NA
"100","JOAN GREENE FOR CONGRESS","C00640938","GREENE, JOAN","H8AZ05154","DEM","AZ",5,"west","C","GOP Hold",59.4,40.6,18.8,194657.63,7941.87,NA,NA,11098.15,9506.11,NA,426,NA,1650.63,911.38,NA,NA,549,21935.53,1000,0.0407991713450945,NA,NA,0.0570136911663827,0.0488350238313289,NA,0.00218845775529066,NA,0.00847965733477799,0.00468196391787982,NA,NA,0.00282033640294501,0.11268774822749,0.00513722477767761
"101","GEORGE SCOTT FOR CONGRESS","C00640961","SCOTT, GEORGE","H8PA04090","DEM","PA",10,"northeast","C","GOP Hold",51.3,48.7,2.6,2195518.05,447762.39,47891.77,550,319767.64,40074.9,NA,NA,2232.41,7910.73,2480.87,270,718.68,NA,2500,NA,0.203943843686459,0.0218134257652767,0.00025051035221505,0.145645643860682,0.0182530496617871,NA,NA,0.00101680330070618,0.00360312683377848,0.00112997021363591,0.000122977809269206,0.000327339599872568,NA,0.00113868341915932,NA
"102","FRIENDS OF DR. DANIELLE MITCHELL","C00641001","MITCHELL, DANIELLE DR.","H8TN03208","DEM","TN",3,"south","C","GOP Hold",63.7,34.5,29.2,278916.02,24046.61,NA,NA,128939.14,5127.6,940.06,NA,1820.54,2557.98,3205,3062.5,19599.5,NA,3862.2,1971.59,0.0862145171869296,NA,NA,0.462286605122216,0.0183840282820614,0.00337040518504459,NA,0.00652719768480849,0.00917114764508686,0.0114909140034337,0.0109800075305821,0.070270255541435,NA,0.0138471788031394,0.00706875854603117
"103","KOPSER FOR CONGRESS","C00641191","KOPSER, JOSEPH","H8TX21190","DEM","TX",21,"south","O","GOP Hold",50.2,47.6,2.6,3726087.62,9748.75,120960.65,97632.69,806420.22,47029.34,1119758.71,40348.21,39263.22,19234.52,12159.25,NA,NA,NA,NA,3820.5,0.00261635017589844,0.0324631791669998,0.0262024675630145,0.216425458078734,0.0126216409264149,0.300518620117688,0.0108285725175727,0.0105373850548367,0.00516212230135372,0.0032632753815918,NA,NA,NA,NA,0.00102533820715681
"104","ERIC FOR US","C00641340","HOLGUIN, ERIC","H8TX27056","DEM","TX",27,"south","O","GOP Hold",60.3,36.6,23.7,186909.23,14500.17,NA,NA,29267,4860.74,41088.51,NA,515.21,NA,358.34,500,5019,NA,3992.17,76.86,0.0775786728135363,NA,NA,0.156584027444766,0.026005885316632,0.219831358783084,NA,0.00275647168414315,NA,0.00191718728925265,0.00267509528555652,0.0268526064764164,NA,0.0213588702922804,0.000411215647295749
"105","JD FOR CONGRESS","C00646489","DIGANVKER, JITENDRA JD","H8IL08101","REP","IL",8,"midwest","C","Dem Hold",66,34,32,49759.83,6466,NA,NA,13864.53,NA,NA,NA,303.41,NA,NA,NA,NA,300,NA,550,0.129944173844645,NA,NA,0.278628966377096,NA,NA,NA,0.00609748867711164,NA,NA,NA,NA,0.00602895950408191,NA,0.0110530924241502
"106","AMY MCGRATH FOR CONGRESS","C00646745","MCGRATH, AMY","H8KY06164","DEM","KY",6,"south","C","GOP Hold",51,47.8,3.2,9523100.31,4376765.13,NA,182194.96,347699.16,99916.8,1570465.25,NA,295069.24,66646.35,12181.49,NA,NA,9,69500,800.29,0.459594563485177,NA,0.0191318955034718,0.0365111306907992,0.01049204531586,0.164911131761459,NA,0.0309845775424789,0.00699838790210118,0.00127915170516565,NA,NA,9.45070376981044e-07,0.00729804346668695,8.40367079993511e-05
"107","KEN HARBAUGH FOR CONGRESS","C00646752","HARBAUGH, KENNETH","H8OH07123","DEM","OH",7,"midwest","C","GOP Hold",58.7,41.3,17.4,3527403.22,739661.25,NA,31024.85,253092.95,8183.4,945582.41,NA,729.92,11115.01,5638.51,4411.83,709540,NA,NA,2500,0.209690019503923,NA,0.0087953795086687,0.071750501492143,0.00231995025507744,0.268067570114652,NA,0.000206928427082402,0.00315104605478021,0.00159848751286222,0.00125073027517393,0.201150805776041,NA,NA,0.000708736666629226
"108","COMMITTEE TO ELECT CHRISTINE BROWN","C00647008","BROWN, CHRISTINE CAROL","H8WA04089","DEM","WA",4,"west","C","GOP Hold",62.8,37.2,25.6,454216.98,98912.19,NA,NA,54172.31,NA,105867.79,1776.36,4115.37,8507.73,1455.4,16889.24,NA,1296.84,NA,885.01,0.217764183980969,NA,NA,0.119265268330567,NA,0.233077570107573,0.0039108181292562,0.00906036141581497,0.0187305415134414,0.00320419549264759,0.037183198215091,NA,0.00285511122899897,NA,0.00194843002126429
"109","LORIE BURCH FOR CONGRESS","C00647057","BURCH, LORIE","H8TX03099","DEM","TX",3,"south","C","GOP Hold",54.3,44.3,10,313974.34,45081.17,NA,3500,3500,19095.87,NA,95.88,633.56,13130.43,29810.48,250,NA,NA,9695.83,1000,0.143582338607671,NA,0.0111474077786102,0.0111474077786102,0.0608198427935225,NA,0.000305375273660899,0.00201787190634751,0.0418200735767133,0.094945593324601,0.00079624341275787,NA,NA,0.0308809630748806,0.00318497365103148
"110","KOHL FOR CONGRESS","C00647164","KOHL, DAN","H8WI06098","DEM","WI",6,"midwest","C","GOP Hold",55.5,44.5,11,3660267.92,1223.19,NA,107615.19,1470790.2,86799.47,610028.1,35634.76,9883.47,5067.08,5909.46,NA,NA,NA,NA,1637.46,0.00033418045529301,NA,0.0294009051665267,0.401825831372475,0.0237139662716275,0.166662144229049,0.00973556055973083,0.00270020397851095,0.00138434675022368,0.00161448837329919,NA,NA,NA,NA,0.000447360694842251
"111","CAMPAIGN TO ELECT JOSH MCCALL","C00647222","MCCALL, JOSHUA BRAXTON","H8GA09058","DEM","GA",9,"south","C","GOP Hold",79.5,20.5,59,89101.39,3308.57,NA,NA,40567.9,225,NA,NA,475.53,5448.23,951.46,900,NA,348.95,1489.19,NA,0.0371326418140054,NA,NA,0.455300416749952,0.00252521313079403,NA,NA,0.00533695377816216,0.0611464086026043,0.0106783968241124,0.0101008525231761,NA,0.00391632498662479,0.0167134317433207,NA
"112","COMMITTEE TO ELECT CHUCK ENDERLIN","C00647446","ENDERLIN, CHARLES JOSEPH JR.","H8GA03051","DEM","GA",3,"south","C","GOP Hold",65.5,34.5,31,52617.35,12188.61,3520,NA,NA,NA,209.68,NA,NA,NA,15876.76,NA,NA,744,NA,NA,0.231646215554375,0.0668980858975224,NA,NA,NA,0.00398499734403196,NA,NA,NA,0.301740015413167,NA,NA,0.0141398227010672,NA,NA
"113","JESSICA MCCLURE FOR CONGRESS","C00647461","MCCLURE, JESSICA","H8NE01081","DEM","NE",1,"midwest","C","GOP Hold",60.4,39.6,20.8,70037.25,NA,NA,NA,500,NA,630,NA,1224.38,224.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00713905814405905,NA,0.00899521326151441,NA,0.0174818400208461,0.00320029698481879,NA,NA,NA,NA,NA,NA
"114","RANDY BRYCE FOR CONGRESS","C00647537","BRYCE, RANDY","H8WI01123","DEM","WI",1,"midwest","O","GOP Hold",54.6,42.3,12.3,8630289.5,303321.66,NA,241375.91,598351.55,200995.85,712560.36,NA,120231.42,7856.77,1350132.6,NA,NA,NA,NA,NA,0.035146174412805,NA,0.0279684603859465,0.0693315734078214,0.023289583738761,0.0825650587966951,NA,0.0139313310405172,0.000910371546632358,0.156441171527328,NA,NA,NA,NA,NA
"115","PETER JOFFRION FOR CONGRESS","C00647677","JOFFRION, PETER S.","H8AL05190","DEM","AL",5,"south","O","GOP Hold",61.1,38.9,22.2,585923.61,79832.07,5000,6538.68,245553.86,52227.14,NA,19572.38,8810.73,10882.11,3657.12,NA,479.6,NA,5400,1200,0.136249962687115,0.00853353562591547,0.0111596117452922,0.419088522478212,0.0891364319659349,NA,0.0334043204027911,0.0150373356690644,0.0185725746740262,0.00624163276164959,NA,0.000818536737237812,NA,0.00921621847598871,0.00204804855021971
"116","OMAR QUDRAT FOR CONGRESS","C00647875","QUDRAT, OMAR","H8CA52102","REP","CA",52,"west","C","Dem Hold",63.8,36.2,27.6,390460.78,2600,20500,NA,34250,99498.9,NA,NA,7311.09,3910,NA,NA,NA,NA,1400,3200,0.00665879938056775,0.0525020720390919,NA,0.0877168764555559,0.254824312956605,NA,NA,0.0187242621397212,0.0100138098377,NA,NA,NA,NA,0.00358550735876725,0.008195445391468
